variable,standardized_variable,mean,standard_deviation
subject_accuracy,subject_accuracy_z,0.6231161347517731,0.14076787064070787
item_entropy,item_entropy_z,0.7190179634222389,0.2626867445736676
subject_mean_models,subject_mean_models_z,2.722800531914894,0.469385916534537
models_within_subject,models_within_subject_z,3.966488288332784e-17,0.9592986293175724
