parameter,posterior_mean_log_odds,posterior_sd,credible_95_lower_log_odds,credible_95_upper_log_odds,odds_ratio,credible_95_lower_odds_ratio,credible_95_upper_odds_ratio,posterior_probability_positive,posterior_probability_negative
Intercept,-2.431797820817594,0.03482366450922731,-2.5000522032556796,-2.363543438379508,0.08787870032136871,0.08208071363157442,0.09408624302216363,0.0,1.0
"C(condition, Treatment(reference='Neutral'))[T.Standard]",1.3751192101270304,0.06973924971390867,1.2384302806877694,1.5118081395662915,3.9555482362231533,3.4501933766928254,4.534923159607327,1.0,7.552819832502576e-87
sequence_c10,-0.16211265160349128,0.018871413228201378,-0.19910062153076596,-0.1251246816762166,0.8503454063708765,0.8194674331168256,0.882386878250677,0.0,1.0
subject_accuracy_z,-0.18423743142859633,0.03832901723378323,-0.25936230520681147,-0.1091125576503812,0.8317382995680557,0.7715434381942994,0.8966294893096429,7.670753570110378e-07,0.999999232924643
item_entropy_z,-0.300950663261413,0.03390777874432638,-0.36740990960029274,-0.2344914169225333,0.7401142866710473,0.6925257139167358,0.7909730228449725,0.0,1.0
subject_mean_models_z,0.15313365174933874,0.03495787640918157,0.08461621398734287,0.2216510895113346,1.1654807370731632,1.0882993124856981,1.2481358142054824,0.999994080159342,5.919840657992126e-06
models_within_subject_z,-0.08365833830056361,0.034594518566047845,-0.15146359469001738,-0.015853081911109845,0.9197454442105635,0.8594491702168559,0.9842719167820495,0.007797589905006119,0.9922024100949939
