removed_subject,converged,optimizer,Intercept,Intercept__difference_from_full,"C(condition, Treatment(reference='Neutral'))[T.Standard]","C(condition, Treatment(reference='Neutral'))[T.Standard]__difference_from_full",sequence_c10,sequence_c10__difference_from_full,subject_accuracy_z,subject_accuracy_z__difference_from_full,item_entropy_z,item_entropy_z__difference_from_full,subject_mean_models_z,subject_mean_models_z__difference_from_full,models_within_subject_z,models_within_subject_z__difference_from_full
63873,True,lbfgs,73.15569673579172,0.004285059754053577,4.835793450500666,-0.2999154040919638,-0.44149311643226435,-0.0041014735461138985,0.3443302904524125,0.03453758923381639,-2.508350715542799,-0.01409963594477448,-1.7544782145463103,0.04606175107666188,-0.489267343405847,0.0015889518770552669
63884,True,lbfgs,73.2287817221934,0.0773700461557354,5.051778499516501,-0.083930355076129,-0.4396699618276476,-0.0022783189414971594,0.27156687804359225,-0.03822582317500384,-2.479747047266573,0.014504032331451366,-1.776494606537404,0.02404535908556804,-0.5118224893209037,-0.02096619403800143
63885,True,lbfgs,73.08401804490866,-0.06739363112900776,5.033652863998163,-0.1020559905944669,-0.43053644162931426,0.006855201256836196,0.5616786971876796,0.2518859959690835,-2.509876214885267,-0.015625135287242742,-2.04869637360391,-0.24815640798093797,-0.4889980613074838,0.0018582339754184551
63954,True,lbfgs,73.45914375647172,0.3077320804340502,4.815922359680832,-0.31978649491179745,-0.4299208362418101,0.007470806644340355,0.362523962626178,0.052731261407581886,-2.486598362426218,0.0076527171718066,-1.6677981452838186,0.1327418203391535,-0.4966308681768212,-0.005774572893918972
63969,True,lbfgs,73.16735983818414,0.0159481621464721,4.9909195038345135,-0.14478935075811616,-0.44879108038851667,-0.011399437502366216,0.2955362835008081,-0.014256417717788017,-2.4914153522825755,0.0028357273154488993,-1.7039898311653117,0.09655013445766047,-0.5022040685288408,-0.011347773245938553
63977,True,lbfgs,72.96703583093999,-0.18437584509767646,5.271611531749219,0.1359026771565892,-0.46224759572536955,-0.024855952839219098,0.176694356919207,-0.13309834429938908,-2.483346630287347,0.010904449310677578,-1.576854408824073,0.22368555679889912,-0.4792131322278487,0.01164316305505353
63978,True,lbfgs,73.16893591677797,0.017524240740300456,4.9486757115882725,-0.18703314300435725,-0.43845535353223164,-0.001063710646081184,0.3175605846429242,0.007767883424328104,-2.505717712649698,-0.011466633051673725,-1.6867892642524007,0.11375070137057142,-0.49058939930677337,0.00026689597612888916
64012,True,lbfgs,73.13480210813039,-0.016609567907281075,5.242973057486746,0.10726420289411642,-0.4616139968876462,-0.02422235400149575,0.4146023747963074,0.10480967357771132,-2.5071198129472476,-0.012868733349223227,-1.83295777320772,-0.03241780758474788,-0.48066648994682687,0.010189805336075386
64037,True,lbfgs,73.23405636629589,0.08264469025822052,5.084218234041842,-0.0514906205507879,-0.4456864431236791,-0.008294800237528654,0.4048161654901782,0.09502346427158209,-2.491362585359256,0.0028884942387685797,-1.9279246713762812,-0.12738470575330907,-0.5001821291974488,-0.0093258339145465
64038,True,lbfgs,73.22588806221445,0.07447638617678365,5.067730968417419,-0.0679778861752105,-0.4358055842521567,0.0015860586339937477,0.3206153329923811,0.010822631773785008,-2.520031933369795,-0.02578085377177075,-1.8569430737841983,-0.05640310816122618,-0.48943124465345766,0.0014250506294445908
64039,True,lbfgs,73.12723269056437,-0.024178985473298553,5.329557373726053,0.19384851913342338,-0.44486659087027985,-0.007474947984129399,0.3539926968692554,0.044199995650659296,-2.5137699155210704,-0.01951883592304604,-1.9405163396037544,-0.13997637398078222,-0.49796816957186424,-0.0071118742889619835
64065,True,lbfgs,73.20620761026295,0.054795934225282394,5.401907927574062,0.26619907298143186,-0.43477435307838974,0.0026172898077607143,0.17495129894943276,-0.13484140226916333,-2.5127172621409706,-0.018466182542946186,-1.5655076041899374,0.23503236143303474,-0.4919111986817167,-0.0010549033988144219
64066,True,lbfgs,73.15619110052364,0.0047794244859744595,5.013406865475373,-0.12230198911725676,-0.45675210343536143,-0.019360460549210978,0.2928055245452703,-0.016987176673325777,-2.4843387398661334,0.009912339731890984,-1.7747941366997482,0.025745828923223968,-0.4986789702122414,-0.007822674929339135
64105,True,lbfgs,73.16352538558512,0.012113709547449503,5.378288492696242,0.24257963810361272,-0.4384846887102868,-0.0010930458241363294,0.2319175772039816,-0.0778751240146145,-2.4996216250126086,-0.00537054541458426,-1.790523375966291,0.010016589656681063,-0.4850260007259228,0.005830294556979476
64116,True,lbfgs,73.16562966984134,0.01421799380366906,5.1205953915934,-0.015113462999229554,-0.4571156324317957,-0.01972398954564525,0.30984433647352577,5.1635254929682795e-05,-2.492732275697183,0.001518803900841359,-1.7931660999560606,0.007373865666911561,-0.48822336836453123,0.0026329269183710258
64123,True,lbfgs,73.19495346655252,0.043541790514851186,5.104959567397367,-0.030749287195262376,-0.44754426302927103,-0.010152620143120572,0.33706956025140244,0.027276859032806355,-2.4798413516493905,0.014409727948633932,-1.8517098727042665,-0.05116990708129432,-0.49428472359743064,-0.0034284283145283867
64159,True,lbfgs,73.131930508993,-0.019481167044673953,5.365542921872201,0.22983406727957156,-0.41261910989617134,0.024772532989979112,0.4272067609008721,0.11741405968227603,-2.448998929070618,0.04525215052740661,-1.792514451793171,0.0080255138298011,-0.4882571581821185,0.002599137100783744
64189,True,lbfgs,73.11580086234346,-0.03561081369420549,5.38004451848591,0.24433566389328032,-0.4416410617873214,-0.0042494189011709205,0.5240288516849242,0.2142361504663281,-2.4967520320049466,-0.0025009524069221634,-1.8578535285744264,-0.05731356295145429,-0.5293850307109498,-0.03852873542804752
64222,True,lbfgs,73.07764381999743,-0.07376785604023439,5.554619311243428,0.4189104566507984,-0.42502453518719,0.012367107698960433,0.7182923912212487,0.40849969000265257,-2.481170912021199,0.013080167576825286,-1.9339111879895468,-0.13337122236657462,-0.44683136009870916,0.04402493518419309
64258,True,lbfgs,73.53899187493703,0.38758019889935724,4.669879617813531,-0.4658292367790988,-0.4367388519098074,0.0006527909763430761,0.09790377054910714,-0.21188893066948894,-2.487752215245638,0.006498864352386224,-1.446262387747252,0.3542775778757201,-0.5039588850307946,-0.013102589747892301
64270,True,lbfgs,73.26845851240535,0.11704683636767754,5.039292014456763,-0.09641684013586715,-0.4546840047384864,-0.017292361852335958,0.44279531095118696,0.13300260973259087,-2.466551586602971,0.027699492995053365,-1.8036413402265306,-0.0031013746035584155,-0.5025770325344727,-0.011720737251570468
64312,True,lbfgs,73.24298551177259,0.09157383573491984,5.03430426206602,-0.1014045925266096,-0.4405391358650225,-0.0031474929788720685,0.25827685339370376,-0.051515847824892325,-2.4916612483846707,0.002589831213353655,-1.775702120813123,0.024837844809849186,-0.49241177987421514,-0.0015554845913128834
64363,True,lbfgs,72.8347126431396,-0.31669903289807166,5.429694313887106,0.2939854592944764,-0.4415353051805747,-0.004143662294424255,0.35339661223758667,0.04360391101899058,-2.5033417842658148,-0.009090704667790384,-1.6175827177782518,0.18295724784472034,-0.4954416187315806,-0.004585323448678347
64369,True,lbfgs,73.06771607667211,-0.08369559936555504,4.992233684446284,-0.14347517014634548,-0.4414227879172614,-0.004031145031110961,0.613058470026194,0.30326576880759787,-2.5053570469829425,-0.011105967384918092,-2.109863578261242,-0.3093236126382697,-0.4889561952877893,0.0019000999951129804
