parameter,full_estimate,jackknife_mean,jackknife_sd,jackknife_min,jackknife_max,maximum_absolute_change,sign_change_detected,n_successful_models
Intercept,73.15141167603767,73.15117173728181,0.14297158648388072,72.81457526086017,73.74673179883561,0.5953201227979434,False,141
"C(condition, Treatment(reference='Neutral'))[T.Standard]",5.13570885459263,5.136076951983167,0.2017812572250748,4.5037321484026265,5.554619311243428,0.6319767061900032,False,141
sequence_c10,-0.43739164288615046,-0.43739304255428624,0.020012083400977695,-0.5457919506560834,-0.381765087223353,0.10840030776993298,False,141
subject_accuracy_z,0.3097927012185961,0.3096430121258913,0.14171715803035198,-0.24770987134782105,0.751873561000134,0.5575025725664171,True,141
item_entropy_z,-2.4942510795980244,-2.494216980206497,0.019180642911460856,-2.5292070814230616,-2.4401174421698193,0.054133637428205095,False,141
subject_mean_models_z,-1.8005399656229721,-1.800513721825575,0.131900626379848,-2.109863578261242,-1.1363685487646038,0.6641714168583683,False,141
models_within_subject_z,-0.49085629528290226,-0.4911534726901026,0.024433939429592898,-0.5610300347248883,-0.38586856467521247,0.10498773060768979,False,141
