subject_id,task,premise_1,premise_2,number_models_generated,std_models_generated,minimum_models_generated,maximum_models_generated,n_samples,n_parameter_sets_used,epsilon,lambda,omega,sigma
64123,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.5,4.05,0.6000000000000001,0.1
64123,2,All B are C,All A are B,2.0,0.0,2,2,20,1,0.5,4.05,0.6000000000000001,0.1
64123,3,All B are C,All A are C,2.1,0.3,2,3,20,1,0.5,4.05,0.6000000000000001,0.1
64123,4,All B are C,No A are B,2.75,1.8131,2,8,20,1,0.5,4.05,0.6000000000000001,0.1
64159,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.5,4.05,0.2,0.9
64159,2,All B are C,All A are B,2.75,0.433,2,3,20,1,0.5,4.05,0.2,0.9
64159,3,All B are C,All A are C,2.85,0.3571,2,3,20,1,0.5,4.05,0.2,0.9
64159,4,All B are C,No A are B,6.65,1.6815,2,8,20,1,0.5,4.05,0.2,0.9
64189,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.5,4.05,0.2,0.9
64189,2,All B are C,All A are B,2.75,0.433,2,3,20,1,0.5,4.05,0.2,0.9
64189,3,All B are C,All A are C,2.85,0.3571,2,3,20,1,0.5,4.05,0.2,0.9
64189,4,All B are C,No A are B,6.65,1.6815,2,8,20,1,0.5,4.05,0.2,0.9
64222,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.5,4.05,0.2,0.9
64222,2,All B are C,All A are B,2.75,0.433,2,3,20,1,0.5,4.05,0.2,0.9
64222,3,All B are C,All A are C,2.85,0.3571,2,3,20,1,0.5,4.05,0.2,0.9
64222,4,All B are C,No A are B,6.65,1.6815,2,8,20,1,0.5,4.05,0.2,0.9
64250,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.5,4.05,0.2,0.9
64250,2,All B are C,All A are B,2.75,0.433,2,3,20,1,0.5,4.05,0.2,0.9
64250,3,All B are C,All A are C,2.85,0.3571,2,3,20,1,0.5,4.05,0.2,0.9
64250,4,All B are C,No A are B,6.65,1.6815,2,8,20,1,0.5,4.05,0.2,0.9
64258,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.5,4.05,0.7000000000000001,0.9
64258,2,All B are C,All A are B,2.5,0.5,2,3,20,1,0.5,4.05,0.7000000000000001,0.9
64258,3,All B are C,All A are C,2.95,0.2179,2,3,20,1,0.5,4.05,0.7000000000000001,0.9
64258,4,All B are C,No A are B,6.6,1.241,2,8,20,1,0.5,4.05,0.7000000000000001,0.9
64270,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.5,4.05,0.2,0.9
64270,2,All B are C,All A are B,2.75,0.433,2,3,20,1,0.5,4.05,0.2,0.9
64270,3,All B are C,All A are C,2.85,0.3571,2,3,20,1,0.5,4.05,0.2,0.9
64270,4,All B are C,No A are B,6.65,1.6815,2,8,20,1,0.5,4.05,0.2,0.9
64312,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.5,4.05,0.5,0.5
64312,2,All B are C,All A are B,2.35,0.477,2,3,20,1,0.5,4.05,0.5,0.5
64312,3,All B are C,All A are C,2.5,0.5,2,3,20,1,0.5,4.05,0.5,0.5
64312,4,All B are C,No A are B,4.7,2.492,2,8,20,1,0.5,4.05,0.5,0.5
64363,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.5,4.05,0.6000000000000001,0.1
64363,2,All B are C,All A are B,2.0,0.0,2,2,20,1,0.5,4.05,0.6000000000000001,0.1
64363,3,All B are C,All A are C,2.1,0.3,2,3,20,1,0.5,4.05,0.6000000000000001,0.1
64363,4,All B are C,No A are B,2.75,1.8131,2,8,20,1,0.5,4.05,0.6000000000000001,0.1
64369,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.5,4.05,0.2,0.9
64369,2,All B are C,All A are B,2.75,0.433,2,3,20,1,0.5,4.05,0.2,0.9
64369,3,All B are C,All A are C,2.85,0.3571,2,3,20,1,0.5,4.05,0.2,0.9
64369,4,All B are C,No A are B,6.65,1.6815,2,8,20,1,0.5,4.05,0.2,0.9
64386,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.5,4.05,0.2,0.9
64386,2,All B are C,All A are B,2.75,0.433,2,3,20,1,0.5,4.05,0.2,0.9
64386,3,All B are C,All A are C,2.85,0.3571,2,3,20,1,0.5,4.05,0.2,0.9
64386,4,All B are C,No A are B,6.65,1.6815,2,8,20,1,0.5,4.05,0.2,0.9
64388,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.5,4.05,0.2,0.9
64388,2,All B are C,All A are B,2.75,0.433,2,3,20,1,0.5,4.05,0.2,0.9
64388,3,All B are C,All A are C,2.85,0.3571,2,3,20,1,0.5,4.05,0.2,0.9
64388,4,All B are C,No A are B,6.65,1.6815,2,8,20,1,0.5,4.05,0.2,0.9
64392,1,All B are C,No A are C,2.0,0.0,2,2,20,1,0.5,4.05,0.6000000000000001,0.1
64392,2,All B are C,All A are B,2.0,0.0,2,2,20,1,0.5,4.05,0.6000000000000001,0.1
64392,3,All B are C,All A are C,2.1,0.3,2,3,20,1,0.5,4.05,0.6000000000000001,0.1
