removed_subject,converged,optimizer,Intercept,Intercept__difference_from_full,"C(condition, Treatment(reference='Neutral'))[T.Standard]","C(condition, Treatment(reference='Neutral'))[T.Standard]__difference_from_full",sequence_c10,sequence_c10__difference_from_full,subject_accuracy_z,subject_accuracy_z__difference_from_full,item_entropy_z,item_entropy_z__difference_from_full,subject_mean_models_z,subject_mean_models_z__difference_from_full,models_within_subject_z,models_within_subject_z__difference_from_full
63873,True,lbfgs,73.13970807968012,0.04423018672859769,4.891651431049538,-0.35513718998828914,-0.4422717954229343,-0.004200202760594907,0.5957731734355565,-0.100279273572356,-2.5012425454550313,-0.013814206483459213,-1.9996805200070955,0.24112080325881746,-0.4840736686833518,0.0005246357324397155
63884,True,lbfgs,73.17367881578859,0.0782009228370697,5.163586315890057,-0.08320230514777016,-0.4404197283435506,-0.002348135681211172,0.6601432141282613,-0.0359092328796512,-2.4745333853078533,0.012894953663718844,-2.2235934556027166,0.017207867663196375,-0.49113941724500526,-0.006541112829213769
63885,True,lbfgs,73.01243116540637,-0.08304672754515252,5.157868467434018,-0.08892015360380867,-0.4312211848202811,0.006850407842058315,1.0315629638330013,0.3355105168250888,-2.5035504525318593,-0.016122113560287143,-2.5841378790354588,-0.3433365557695458,-0.47813658476462323,0.006461719651168263
63954,True,lbfgs,73.4010675103275,0.305589617375972,4.926022329552314,-0.32076629148551294,-0.4306053839577299,0.007466208704609512,0.7212430048763525,0.025190557868440044,-2.478592361960536,0.008835977011036,-2.080674060043775,0.160127263222138,-0.4968835892897821,-0.01228528487399061
63969,True,lbfgs,73.1064290664786,0.010951173527075753,5.110666069396702,-0.13612255164112508,-0.4494293961863426,-0.011357803524003174,0.6870107940044916,-0.009041653003420858,-2.4858978706033583,0.0015304683682137998,-2.159679710610626,0.08112161265528695,-0.48705160767685557,-0.002453303261064077
63977,True,lbfgs,72.90670893692918,-0.18876895602234356,5.39432090546126,0.14753228442343325,-0.46291472298758496,-0.024843130325245544,0.5595289068503609,-0.13652354015755153,-2.4759095881070046,0.01151875086456755,-2.0307903234785374,0.21001099978737559,-0.4821333864986718,0.002464917917119669
63978,True,lbfgs,73.10569220349011,0.010214310538586346,5.071912421113622,-0.17487619992420456,-0.43920505672434285,-0.0011334640620034309,0.7143482284448612,0.018295781436948766,-2.4992477549727434,-0.011819416001171312,-2.151025206751091,0.08977611651482187,-0.48402625623133316,0.0005720481844583292
64012,True,lbfgs,73.07881848907917,-0.016659403872353096,5.3563456118929444,0.1095569908551175,-0.4623143497759024,-0.024242757113562996,0.806319610523161,0.11026716351524857,-2.500225876269838,-0.012797537298265826,-2.2749768480357306,-0.03417552476981767,-0.4751516402325142,0.009446664183277276
64037,True,lbfgs,73.18401099167846,0.08853309872694126,5.187371864930581,-0.05941675610724584,-0.4463189384397047,-0.0082473457773653,0.8004202143614413,0.10436776735352882,-2.485740495521681,0.0016878434498912576,-2.3707699277314727,-0.1299686044655597,-0.48699216112985594,-0.0023938567140644462
64038,True,lbfgs,73.17176914143315,0.07629124848162405,5.174049400151075,-0.07273922088675189,-0.43640283451393846,0.0016687581484009506,0.7044808392809234,0.008428392273010954,-2.5137163061777366,-0.026287967206164442,-2.2882529574047727,-0.04745163413885978,-0.48269951999981064,0.0018987844159808476
64039,True,lbfgs,73.07805387810947,-0.017424014842049473,5.4258912958935746,0.1791026748557476,-0.44546878055572586,-0.007397187893386448,0.7360002706622519,0.039947823654339465,-2.5078899576529716,-0.020461618681399507,-2.3618628025094,-0.1210614792434872,-0.4860380038268121,-0.001439699411020623
64065,True,lbfgs,73.16050599042659,0.06502809747506433,5.484057298879142,0.2372686778413149,-0.4354640097432002,0.0026075829191392064,0.501082455712819,-0.19496999129509351,-2.5058468829608933,-0.01841854398932119,-1.9335959958774434,0.3072053273884696,-0.4848462293433342,-0.0002479249275427198
64066,True,lbfgs,73.10299638871076,0.007518495759242683,5.125365134402233,-0.1214234866355941,-0.45747141988994766,-0.019399827227608246,0.6679810418663509,-0.02807140514156159,-2.478897720161823,0.008530618809749146,-2.200089136935583,0.040712186330329914,-0.4819200060070721,0.002678298408719415
64105,True,lbfgs,73.10198679055077,0.006508897599246666,5.50391665558717,0.25712803454934274,-0.4391536891457572,-0.0010820964834177826,0.6339654471917235,-0.062086999816188926,-2.492322617180807,-0.004894278209234937,-2.2572669233334675,-0.016465600067554487,-0.4839480326670085,0.0006502717487830156
64116,True,lbfgs,73.10221679947374,0.006738906522215871,5.239685342024216,-0.007103279013611186,-0.4577938539117619,-0.0197222612494225,0.6953657267601824,-0.0006867202477300882,-2.485444545021204,0.0019837939503681845,-2.2364796608896027,0.004321662376310265,-0.483993502554054,0.0006048018617375028
64123,True,lbfgs,73.14194752361303,0.046469630661505335,5.211611770126826,-0.03517685091100109,-0.4483043890082343,-0.010232796345894912,0.7247095610103259,0.028657114002413442,-2.473527445130982,0.013900893840590012,-2.28988448022691,-0.049083156960997076,-0.4870378134154295,-0.002439508999638018
64159,True,lbfgs,73.0795277710645,-0.015950121887016167,5.466224466312427,0.21943584527460036,-0.4132688391836493,0.0248027534786901,0.7999970036863024,0.10394455667838998,-2.441989244781976,0.04543909418959613,-2.2161115711912776,0.024689752074635418,-0.4826787887505037,0.0019195156652878076
64189,True,lbfgs,73.06107070906945,-0.03440718388206676,5.489601649995737,0.2428130289579098,-0.4423214398863854,-0.004249847224045977,0.913198750969541,0.21714630396162848,-2.4884735853972844,-0.001045246425712243,-2.2963508102156784,-0.05554948694976547,-0.5285061267928228,-0.043907822377031336
64222,True,lbfgs,73.02236008067572,-0.07311781227579672,5.66724967622457,0.4204610551867427,-0.4256941239368811,0.012377468725458307,1.120114622330065,0.4240621753221526,-2.4739619963300914,0.013466342641480722,-2.3815018005819377,-0.14070047731602475,-0.447795792166243,0.0368025122495485
64258,True,lbfgs,73.46419399036503,0.3687160974135111,4.817268368043128,-0.4295202529946991,-0.4375229140219592,0.000548678640380218,0.4982744410656074,-0.19777800594230505,-2.4808458672066487,0.0065824717649234366,-1.9381379326774915,0.3026633905884215,-0.49063811063598234,-0.0060398062201908465
64270,True,lbfgs,73.21249517074911,0.11701727779758642,5.150372490350698,-0.09641613068712918,-0.4554338864046521,-0.017362293742312684,0.8288078431158221,0.13275539610790965,-2.4585071561233867,0.028921182848185456,-2.2433468654644093,-0.0025455421984963422,-0.5024009838187465,-0.017802679402955046
64312,True,lbfgs,73.17786402563564,0.0823861326841211,5.152474659967243,-0.09431396107058365,-0.4411291401791542,-0.003057547516814807,0.6378326478695532,-0.058219799138359285,-2.484605318030325,0.0028230209412472007,-2.199974128442814,0.040827194823099155,-0.4894276458429344,-0.004829341427142919
64363,True,lbfgs,72.76391568122327,-0.3315622117282544,5.568406521661065,0.32161790062323803,-0.4423440786690402,-0.004272486006700771,0.7597488543121556,0.06369640730424309,-2.497082770889749,-0.009654431918177053,-2.1028266209464617,0.1379747023194513,-0.48766747850665265,-0.0030691740908611598
64369,True,lbfgs,72.99386242095237,-0.10161547199915333,5.121169338602179,-0.12561928243564768,-0.4421331045615349,-0.004061511899195458,1.0964919600378364,0.400439513029924,-2.4986182602900042,-0.011189921318432106,-2.662609940132211,-0.421808616866298,-0.48125148040021126,0.00334682401558023
64386,True,lbfgs,73.12548330598203,0.03000541303050852,5.449678591222992,0.20288997018516497,-0.4087007431593509,0.029370849502988516,0.6081989108640267,-0.0878535361438858,-2.4545405401296536,0.0328877988419185,-2.0544706921908276,0.1863306310750854,-0.4774958005542065,0.007102503861585008
64388,True,lbfgs,73.15116442842893,0.055686535477406096,5.345269440621219,0.09848081958339172,-0.39844979686149273,0.03962179580084668,0.46099190819003194,-0.23506053881788053,-2.4413484909007606,0.04607984807081156,-1.984896443628822,0.2559048796370911,-0.5531976219413693,-0.06859931752557785
64392,True,lbfgs,73.41590620915015,0.32042831619862966,4.9698947928816475,-0.27689382815617947,-0.44324046006453366,-0.005168867402194244,0.8054704048613989,0.1094179578534864,-2.504543406765219,-0.017115067793646688,-2.5035407246691785,-0.26273940140326557,-0.48093826167915,0.0036600427366415
64438,True,lbfgs,73.10790274754932,0.012424854597796298,5.327810370776571,0.08102174973874376,-0.4480388149665917,-0.009967222304252288,0.6502426365816791,-0.04580981042623333,-2.459717449539765,0.027710889431807217,-2.1589757790410617,0.08182554422485122,-0.5266075286303666,-0.04200922421457515
64450,True,lbfgs,72.89319071419648,-0.20228717875504287,5.449593525302225,0.202804904264398,-0.4345433067064736,0.0035282859558657953,0.7729359770422188,0.07688353003430637,-2.5064138187183755,-0.018985479746803424,-2.184887383391165,0.05591393987474813,-0.4789034036208322,0.005694900794959268
64615,True,lbfgs,73.11729208248103,0.021814189529507644,5.035456609440984,-0.21133201159684312,-0.4178931457586516,0.020178446903687808,0.6661877990967427,-0.029864647911169717,-2.503271785378765,-0.01584344640719282,-2.1108399699624525,0.12996135330346048,-0.4838856522376144,0.0007126521781770645
64652,True,lbfgs,72.91950509213221,-0.17597280081930933,5.376986021591487,0.13019740055366036,-0.4328966854538112,0.005174907208528201,0.39539846864613504,-0.30065397836177743,-2.492441813095679,-0.00501347412410702,-2.1803299761935224,0.06047134707239055,-0.46458211842088887,0.020016185994902624
64685,True,lbfgs,72.97620932577445,-0.11926856717707324,5.371165675489463,0.12437705445163605,-0.47202070661095485,-0.03394911394861544,0.6936892373660737,-0.0023632096418387816,-2.4880061232484025,-0.0005777842768304176,-2.285911534366994,-0.04511021110108082,-0.444978189822848,0.03962011459294351
64695,True,lbfgs,73.14712979123637,0.05165189828484529,5.337138136155139,0.09034951511731215,-0.3876969086411771,0.0503746840211623,0.5074884360091679,-0.18856401099874454,-2.5017066723174,-0.014278333345827843,-2.03132852672444,0.2094727965414731,-0.4526875178799342,0.03191078653585727
