variable,standardized_variable,mean,standard_deviation
subject_accuracy,subject_accuracy_z,0.6231161347517731,0.14076787064070787
item_entropy,item_entropy_z,0.7190179634222389,0.2626867445736676
subject_mean_models,subject_mean_models_z,2.9119680851063827,0.6002933863597444
models_within_subject,models_within_subject_z,9.645554646566076e-17,1.2744329403765389
