model,fixed_effect_variance,participant_variance,item_variance,residual_variance,total_variance,marginal_r2,conditional_r2
Null_ML,0.0,199.564714370184,11.86503237062833,285.41270942602375,496.8424561668361,0.0,0.425546859203626
Control_ML,7.26240705602919,193.73380664011862,11.873709624788802,284.7495380606478,497.6194613815844,0.014594298695364393,0.42777652371136615
Cognitive_ML,17.42417120466229,190.16425375125058,5.017673645733875,284.7251290211534,497.33122762280016,0.035035345131952216,0.4274939653757222
Cognitive_REML,17.423997424077005,195.8239789822286,5.198718015742428,284.7750453778767,503.22173979992476,0.03462489007530674,0.43409629820225965
