condition,adjusted_mean_confidence,standard_error,ci_95_lower,ci_95_upper
Neutral,73.14642857143866,1.747868646692917,69.72060602392054,76.57225111895679
Standard,78.29203345070628,1.736270017907056,74.88894421560846,81.69512268580411
