subject_id,mean_number_models_generated_int,mean_number_models_generated_ref,models_change,more_models_ref,more_models_int,same_number_models,model_group_ref
69672,2.0,2.592592592592592,0.5925925925925921,True,False,False,Gr. 2 (moy ~ 2.52)
70111,2.0,2.677248677248677,0.6772486772486772,True,False,False,Gr. 2 (moy ~ 2.52)
70133,2.0,3.226190476190476,1.2261904761904758,True,False,False,Gr. 3 (moy ~ 3.64)
70117,2.0,3.3267973856209148,1.3267973856209148,True,False,False,Gr. 3 (moy ~ 3.64)
69746,2.0,3.4365079365079367,1.4365079365079367,True,False,False,Gr. 3 (moy ~ 3.64)
70130,2.0,3.4918032786885247,1.4918032786885247,True,False,False,Gr. 3 (moy ~ 3.64)
69880,2.0,3.49685534591195,1.4968553459119498,True,False,False,Gr. 3 (moy ~ 3.64)
69788,2.0,3.5277777777777777,1.5277777777777777,True,False,False,Gr. 3 (moy ~ 3.64)
70129,2.0,3.557471264367816,1.5574712643678161,True,False,False,Gr. 3 (moy ~ 3.64)
69987,2.0,3.5591397849462365,1.5591397849462365,True,False,False,Gr. 3 (moy ~ 3.64)
69793,2.0,3.5625,1.5625,True,False,False,Gr. 3 (moy ~ 3.64)
69842,2.0,3.5833333333333335,1.5833333333333335,True,False,False,Gr. 3 (moy ~ 3.64)
70033,2.0,3.610169491525424,1.6101694915254239,True,False,False,Gr. 3 (moy ~ 3.64)
69874,2.0,3.6137566137566135,1.6137566137566135,True,False,False,Gr. 3 (moy ~ 3.64)
69666,2.0,3.6236559139784945,1.6236559139784945,True,False,False,Gr. 3 (moy ~ 3.64)
69636,2.0,3.6379310344827585,1.6379310344827585,True,False,False,Gr. 3 (moy ~ 3.64)
69663,2.0,3.639784946236559,1.639784946236559,True,False,False,Gr. 3 (moy ~ 3.64)
69974,2.0,3.639784946236559,1.639784946236559,True,False,False,Gr. 3 (moy ~ 3.64)
69888,2.0,3.650273224043716,1.650273224043716,True,False,False,Gr. 3 (moy ~ 3.64)
69594,2.0,3.6666666666666665,1.6666666666666665,True,False,False,Gr. 3 (moy ~ 3.64)
69755,2.0,3.6666666666666665,1.6666666666666665,True,False,False,Gr. 3 (moy ~ 3.64)
70114,2.0,3.6666666666666665,1.6666666666666665,True,False,False,Gr. 3 (moy ~ 3.64)
69993,2.0,3.6666666666666665,1.6666666666666665,True,False,False,Gr. 3 (moy ~ 3.64)
69933,2.0,3.6666666666666665,1.6666666666666665,True,False,False,Gr. 3 (moy ~ 3.64)
69600,2.0,3.6666666666666665,1.6666666666666665,True,False,False,Gr. 3 (moy ~ 3.64)
69971,2.0,3.6666666666666665,1.6666666666666665,True,False,False,Gr. 3 (moy ~ 3.64)
69719,2.0,3.6777777777777776,1.6777777777777776,True,False,False,Gr. 3 (moy ~ 3.64)
69924,2.0,3.6825396825396823,1.6825396825396823,True,False,False,Gr. 3 (moy ~ 3.64)
69860,2.0,3.693121693121693,1.693121693121693,True,False,False,Gr. 3 (moy ~ 3.64)
69882,2.0,3.693121693121693,1.693121693121693,True,False,False,Gr. 3 (moy ~ 3.64)
69810,2.0,3.693121693121693,1.693121693121693,True,False,False,Gr. 3 (moy ~ 3.64)
70028,2.0,3.694915254237288,1.694915254237288,True,False,False,Gr. 3 (moy ~ 3.64)
69738,2.0,3.704301075268817,1.704301075268817,True,False,False,Gr. 3 (moy ~ 3.64)
69827,2.0,3.704301075268817,1.704301075268817,True,False,False,Gr. 3 (moy ~ 3.64)
70121,2.0,3.7096774193548385,1.7096774193548385,True,False,False,Gr. 3 (moy ~ 3.64)
69784,2.0,3.7150537634408605,1.7150537634408605,True,False,False,Gr. 3 (moy ~ 3.64)
69602,2.0,3.726775956284153,1.7267759562841531,True,False,False,Gr. 3 (moy ~ 3.64)
69807,2.0,3.7426900584795324,1.7426900584795324,True,False,False,Gr. 3 (moy ~ 3.64)
69870,2.0,3.7484276729559745,1.7484276729559745,True,False,False,Gr. 3 (moy ~ 3.64)
69875,2.0,3.7777777777777777,1.7777777777777777,True,False,False,Gr. 3 (moy ~ 3.64)
69900,2.0,3.9619047619047616,1.9619047619047616,True,False,False,Gr. 3 (moy ~ 3.64)
69683,2.0,3.972222222222222,1.9722222222222219,True,False,False,Gr. 3 (moy ~ 3.64)
