group,number_of_subjects,median_confidence,mean_confidence,median_accuracy,mean_accuracy,median_models,mean_models
Gr. 1 (moy ~ 2.04),34,73.62317708333333,72.29700502021174,52.109440267335,52.95428187232875,2.042328042328042,2.0422152400826548
Gr. 2 (moy ~ 2.26),23,81.74603174603175,78.27984161469172,51.58730158730159,53.15824949124358,2.253968253968254,2.2614650547367
Gr. 3 (moy ~ 2.82),40,79.05159198113208,75.09492708853523,80.78423459779393,77.41199083963124,2.833333333333333,2.821851612464367
