subject_id,intuitive_accuracy,reflective_accuracy,mean_for_int,mean_for_ref,mean_rt_int,mean_rt_ref,mean_number_models_generated_int,median_number_models_generated_int,std_number_models_generated_int,minimum_number_models_generated_int,maximum_number_models_generated_int,mean_number_models_generated_ref,median_number_models_generated_ref,std_number_models_generated_ref,minimum_number_models_generated_ref,maximum_number_models_generated_ref,mean_models_change,response_change_rate,mean_accuracy_gain,mean_confidence_change,mean_rt_change,number_of_trials,number_of_task_types,model_group_int,model_group_ref
69921,48.4375,43.75,90.28125,93.046875,3628.764062507078,1605.7532258014526,2.0,2.0,0.0,2,2,2.083333333333333,2.0,0.14547859349066145,2,3,0.08333333333333337,20.3125,-0.046875,2.765625,-1995.4645161417222,64,4,Gr. 1 (moy ~ 2.00),Gr. 1 (moy ~ 2.08)
69923,52.38095238095239,50.79365079365079,91.55555555555556,96.84126984126983,3864.1428571542106,5385.842857141345,2.0,2.0,0.0,2,2,2.084656084656084,2.0,0.14625864516008738,2,3,0.08465608465608469,7.936507936507936,-0.015873015873015872,5.285714285714286,1521.6999999871343,63,4,Gr. 1 (moy ~ 2.00),Gr. 1 (moy ~ 2.08)
69924,79.36507936507937,87.3015873015873,88.61904761904762,91.71428571428571,5178.460317460317,5494.5901639344265,2.0,2.0,0.0,2,2,3.6825396825396823,3.0,1.9850955137395063,2,8,1.6825396825396826,11.11111111111111,0.07936507936507936,3.0952380952380953,340.0327868852459,63,4,Gr. 1 (moy ~ 2.00),Gr. 3 (moy ~ 3.64)
69933,85.9375,93.75,94.796875,100.0,4269.873437499977,2813.7131147542827,2.0,2.0,0.0,2,2,3.6666666666666665,2.833333333333333,1.9733676530692135,2,8,1.6666666666666665,7.8125,0.078125,5.203125,-1388.3803278686564,64,4,Gr. 1 (moy ~ 2.00),Gr. 3 (moy ~ 3.64)
69947,52.54237288135594,72.88135593220339,26.423728813559322,83.64406779661017,4823.722033896689,10359.999999991776,2.0,2.0,0.0,2,2,2.5819209039548023,2.0,0.8455273815926503,2,8,0.5819209039548023,27.11864406779661,0.2033898305084746,57.220338983050844,5524.132758617399,59,4,Gr. 1 (moy ~ 2.00),Gr. 2 (moy ~ 2.52)
69955,52.459016393442624,52.459016393442624,41.36065573770492,41.967213114754095,4015.827868851482,2219.2066666692494,2.0,2.0,0.0,2,2,2.5792349726775954,2.333333333333333,0.8297738186782795,2,8,0.5792349726775957,9.836065573770492,0.0,0.6065573770491803,-1758.5099999964239,61,4,Gr. 1 (moy ~ 2.00),Gr. 2 (moy ~ 2.52)
69967,52.63157894736842,52.63157894736842,60.228070175438596,68.50877192982456,5224.652631578942,6778.845614035084,2.0,2.0,0.0,2,2,2.087719298245614,2.0,0.14808721943977293,2,3,0.08771929824561407,7.017543859649122,0.0,8.280701754385966,1554.1929824561412,57,4,Gr. 1 (moy ~ 2.00),Gr. 1 (moy ~ 2.08)
69971,51.5625,65.625,77.078125,84.671875,5218.278124997392,5186.496874995529,2.0,2.0,0.0,2,2,3.6666666666666665,2.833333333333333,1.9733676530692132,2,8,1.6666666666666665,23.4375,0.140625,7.59375,-31.78125000186306,64,4,Gr. 1 (moy ~ 2.00),Gr. 3 (moy ~ 3.64)
69974,51.61290322580645,53.2258064516129,81.83870967741936,84.37096774193549,4067.3645161284553,1422.9237288176002,2.0,2.0,0.0,2,2,3.639784946236559,2.833333333333333,1.9476747026043477,2,8,1.639784946236559,4.838709677419355,0.016129032258064516,2.532258064516129,-2531.2898305038275,62,4,Gr. 1 (moy ~ 2.00),Gr. 3 (moy ~ 3.64)
69978,61.40350877192983,61.40350877192983,73.84210526315789,77.05263157894737,5196.789473684145,1186.1578947370385,2.0,2.0,0.0,2,2,2.0935672514619883,2.0,0.15111209395719477,2,3,0.09356725146198834,7.017543859649122,0.0,3.210526315789474,-4010.6315789471073,57,4,Gr. 1 (moy ~ 2.00),Gr. 1 (moy ~ 2.08)
69980,58.06451612903226,62.903225806451616,85.7741935483871,86.16129032258064,4035.3951612932065,2693.3016129030334,2.0,2.0,0.0,2,2,2.0806451612903225,2.0,0.14391714716956794,2,3,0.0806451612903226,11.29032258064516,0.04838709677419355,0.3870967741935484,-1342.0935483901726,62,4,Gr. 1 (moy ~ 2.00),Gr. 1 (moy ~ 2.08)
69984,57.692307692307686,59.61538461538461,65.98076923076923,65.6923076923077,4505.128846152471,2379.0326923086095,2.0,2.0,0.0,2,2,2.0705128205128203,2.0,0.1374612397187082,2,3,0.07051282051282054,9.615384615384617,0.019230769230769232,-0.28846153846153844,-2126.0961538438614,52,4,Gr. 1 (moy ~ 2.00),Gr. 1 (moy ~ 2.08)
69987,59.67741935483871,72.58064516129032,50.403225806451616,74.54838709677419,5310.300000000024,6676.170491802275,2.0,2.0,0.0,2,2,3.5591397849462365,2.833333333333333,1.806458957620653,2,7,1.5591397849462367,22.58064516129032,0.12903225806451613,24.14516129032258,1385.7852459006356,62,4,Gr. 1 (moy ~ 2.00),Gr. 3 (moy ~ 3.64)
69991,52.38095238095239,52.38095238095239,83.38095238095238,89.85714285714286,3567.076190479218,1846.388709679727,2.0,2.0,0.0,2,2,2.4867724867724865,2.0,0.5513924921303937,2,6,0.48677248677248686,6.349206349206349,0.0,6.476190476190476,-1721.2032258049132,63,4,Gr. 1 (moy ~ 2.00),Gr. 2 (moy ~ 2.52)
69993,62.295081967213115,83.60655737704919,40.75409836065574,52.24590163934426,4869.390163933156,12528.298333331939,2.0,2.0,0.0,2,2,3.6666666666666665,3.0,1.9522067285795093,2,8,1.6666666666666665,34.42622950819672,0.21311475409836064,11.491803278688524,7692.5949999997965,61,4,Gr. 1 (moy ~ 2.00),Gr. 3 (moy ~ 3.64)
70020,49.152542372881356,47.45762711864407,80.10169491525424,84.94915254237289,4445.077966083915,1666.8241379137692,2.0,2.0,0.0,2,2,2.5875706214689265,2.0,0.84268086852131,2,8,0.5875706214689266,5.084745762711865,-0.01694915254237288,4.8474576271186445,-2782.0103448259433,59,4,Gr. 1 (moy ~ 2.00),Gr. 2 (moy ~ 2.52)
70028,79.66101694915254,84.7457627118644,88.10169491525424,97.62711864406779,4985.376271186238,3828.1456140332066,2.0,2.0,0.0,2,2,3.694915254237288,3.0,1.9790939290621485,2,8,1.694915254237288,11.864406779661017,0.05084745762711865,9.525423728813559,-1105.2140350896002,59,4,Gr. 1 (moy ~ 2.00),Gr. 3 (moy ~ 3.64)
