metric,mean,median,standard_deviation,minimum,maximum,n_available
accuracy,0.6231161347517731,0.5625,0.14126189081222862,0.40625,0.984375,141
mean_confidence_probability,0.7573747783687943,0.74390625,0.14354858659880723,0.3453125,1.0,141
calibration_bias,0.13425864361702128,0.14171875,0.20884912087167742,-0.3721874999999999,0.5,141
brier_score,0.3017413896276596,0.2990890625,0.10904358192957202,0.03125,0.5646140625,141
type2_auc,0.5217840753885379,0.5113970588235294,0.10112246458532319,0.3225806451612903,0.8494949494949494,140
confidence_discrimination,1.6241361578493954,0.6437246963562728,7.296663447621636,-23.371456500488755,37.86440677966101,141
