parameter,estimate,standard_error,z_value,p_value,ci_95_lower,ci_95_upper
Intercept,67.32697498895133,1.5864151522214223,42.439694864660645,0.0,64.21760129059734,70.43634868730533
"C(condition, Treatment(reference='Neutral'))[T.Standard]",1.9770882103764156,2.2998754933035817,0.8596501054657055,0.3899819461579387,-2.530667756498604,6.484844177251436
sequence_c10,0.061625510251652554,0.11127450774952656,0.5538151684334434,0.5797053463027927,-0.1564725249374195,0.27972354544072464
subject_accuracy_z,0.2451238662641344,1.3768775905651494,0.1780288007763432,0.858700357279327,-2.4535562112435585,2.943803943771827
item_entropy_z,-2.30684854818249,0.3063679391719251,-7.529666956724056,5.0869903884080614e-14,-2.9073297089594634,-1.7063673874055167
subject_mean_models_z,-2.3746908461232383,1.3604309134961663,-1.7455431382550175,0.08089037025685479,-5.041135436575724,0.2917537443292475
models_within_subject_z,-0.28380902765111315,0.24145881576130543,-1.1753931069208634,0.23983747996203797,-0.7570683065432717,0.18945025124104548
