parameter,estimate,standard_error,z_value,p_value,ci_95_lower,ci_95_upper
Intercept,67.32867581992082,1.5610767626501385,43.12963810032077,0.0,64.26896536512655,70.38838627471509
"C(condition, Treatment(reference='Neutral'))[T.Standard]",1.9768479375283419,2.2633827554209067,0.8734041702817164,0.38244281875180275,-2.4593822630966353,6.413078138153319
sequence_c10,0.06145983381741386,0.11125447562288786,0.552425720163747,0.5806567129222042,-0.15659893840344635,0.27951860603827405
subject_accuracy_z,0.24253627836527775,1.3549536897061605,0.1789996811019238,0.857937952093504,-2.4131729534587967,2.8982455101893523
item_entropy_z,-2.306819441261641,0.3046222172314101,-7.572722246681162,3.6548319606377965e-14,-2.903878987035205,-1.709759895488077
subject_mean_models_z,-2.37002176531243,1.3385859219981149,-1.770541379797783,0.07663699743015413,-4.993650172428735,0.2536066418038754
models_within_subject_z,-0.28390122831374565,0.24091598870635939,-1.1784241877768389,0.23862753958074678,-0.75609656617821,0.18829410955071874
