task_type,mean_number_models_generated_int,median_number_models_generated_int,std_number_models_generated_int,minimum_number_models_generated_int,maximum_number_models_generated_int,mean_number_models_generated_ref,median_number_models_generated_ref,std_number_models_generated_ref,minimum_number_models_generated_ref,maximum_number_models_generated_ref,mean_models_change,intuitive_accuracy,reflective_accuracy,mean_for_int,mean_for_ref,mean_rt_int,mean_rt_ref,response_change_rate,mean_accuracy_gain,number_of_trials,number_of_subjects
AC,2.0,2.0,0.0,2,2,2.596877869605142,2.3333333333333335,0.36316674513953284,2,3,0.5968778696051423,49.72451790633609,52.61707988980716,70.95110192837465,79.03650137741047,4111.652479337327,3600.3037735847865,11.294765840220386,2.8925619834710745,1452,97
DA,2.0,2.0,0.0,2,2,4.416964498451274,3.6666666666666665,2.225610251982944,2,8,2.416964498451275,55.325232308791996,58.112937812723374,66.91708363116511,77.26733380986418,4695.001143672651,4660.10262965828,15.082201572551824,2.7877055039313796,1399,97
MP,2.0,2.0,0.0,2,2,2.2945362718089988,2.3333333333333335,0.3048137032026179,2,3,0.29453627180899905,71.28099173553719,75.75757575757575,75.03994490358127,81.75275482093664,4024.101239667518,2702.5854951173974,9.022038567493112,4.476584022038567,1452,97
MT,2.0,2.0,0.0,2,2,2.0,2.0,0.0,2,2,0.0,65.22356281050389,72.249822569198,68.58552164655784,78.32292405961675,4519.441873672859,4343.405263155586,14.549325762952448,7.026259758694109,1409,97
