subject_id,mean_number_models_generated,std_across_tasks,minimum_across_tasks,maximum_across_tasks,number_of_tasks,epsilon,lambda,omega,sigma
65466,2.0833,0.1666,2.0,2.3333,4,0.5,4.05,0.6000000000000001,0.1
65502,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
65527,3.3333,2.0548,2.0,6.3333,4,0.5,4.05,0.7000000000000001,0.9
65554,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
65585,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
65600,2.0833,0.1666,2.0,2.3333,4,0.5,4.05,0.6000000000000001,0.1
65909,2.0833,0.1666,2.0,2.3333,4,0.5,4.05,0.6000000000000001,0.1
65973,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
65995,2.0833,0.1666,2.0,2.3333,4,0.5,4.05,0.6000000000000001,0.1
66020,2.0833,0.1666,2.0,2.3333,4,0.5,4.05,0.6000000000000001,0.1
66022,2.0833,0.1666,2.0,2.3333,4,0.5,4.05,0.6000000000000001,0.1
66036,2.6666,0.6086,2.0,3.3333,4,0.6000000000000001,3.2600000000000002,0.0,0.5
66050,2.0833,0.1666,2.0,2.3333,4,0.5,4.05,0.6000000000000001,0.1
66057,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
66073,2.0833,0.1666,2.0,2.3333,4,0.5,4.05,0.6000000000000001,0.1
66085,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
66087,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
66089,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
66121,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
66151,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
66157,3.6667,2.4645,2.0,7.3333,4,0.5,4.05,0.5,0.8
66201,2.6666,0.6086,2.0,3.3333,4,0.6000000000000001,3.2600000000000002,0.0,0.5
66206,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
66275,2.0833,0.1666,2.0,2.3333,4,0.5,4.05,0.6000000000000001,0.4
66305,2.0833,0.1666,2.0,2.3333,4,0.5,4.05,0.6000000000000001,0.1
66312,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
66314,2.6666,0.6086,2.0,3.3333,4,0.6000000000000001,3.2600000000000002,0.0,0.5
66373,2.6666,0.6086,2.0,3.3333,4,0.6000000000000001,3.2600000000000002,0.0,0.5
66420,2.5833,0.5693,2.0,3.3333,4,0.5,4.05,0.5,0.5
66520,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
67013,2.6666,0.6086,2.0,3.3333,4,0.6000000000000001,3.2600000000000002,0.0,0.5
67024,2.5833,0.7391,2.0,3.6667,4,0.5,4.05,0.5,0.2
67026,2.5833,0.7391,2.0,3.6667,4,0.5,4.05,0.5,0.2
67038,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
67058,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
67100,2.5833,0.7391,2.0,3.6667,4,0.5,4.05,0.5,0.2
67105,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
67144,2.6666,0.6086,2.0,3.3333,4,0.6000000000000001,3.2600000000000002,0.0,0.5
67165,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
67179,2.6666,0.6086,2.0,3.3333,4,0.6000000000000001,3.2600000000000002,0.0,0.5
67180,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
67186,2.0833,0.1666,2.0,2.3333,4,0.5,4.05,0.6000000000000001,0.4
67194,2.6666,0.6086,2.0,3.3333,4,0.6000000000000001,3.2600000000000002,0.0,0.5
67212,2.0833,0.1666,2.0,2.3333,4,0.5,4.05,0.6000000000000001,0.1
67245,2.6666,0.6086,2.0,3.3333,4,0.6000000000000001,3.2600000000000002,0.0,0.5
67311,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
67317,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
67323,2.0833,0.1666,2.0,2.3333,4,0.5,4.05,0.6000000000000001,0.4
67339,2.0833,0.1666,2.0,2.3333,4,0.5,4.05,0.6000000000000001,0.1
67424,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
67454,2.0833,0.1666,2.0,2.3333,4,0.5,4.05,0.6000000000000001,0.1
68007,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
68016,2.0833,0.1666,2.0,2.3333,4,0.5,4.05,0.6000000000000001,0.1
68027,2.6666,0.6086,2.0,3.3333,4,0.6000000000000001,3.2600000000000002,0.0,0.5
68051,3.1667,1.5031,2.0,5.3333,4,0.5,4.05,0.2,0.9
