subject_id,mean_number_models_generated_int,median_number_models_generated_int,std_number_models_generated_int,minimum_number_models_generated_int,maximum_number_models_generated_int,mean_number_models_generated_ref,median_number_models_generated_ref,std_number_models_generated_ref,minimum_number_models_generated_ref,maximum_number_models_generated_ref,mean_models_change,intuitive_accuracy,reflective_accuracy,mean_for_int,mean_for_ref,mean_rt_int,mean_rt_ref,response_change_rate,mean_accuracy_gain,mean_for_change,mean_rt_change,number_of_trials,number_of_task_types,epsilon_int,lambda_int,omega_int,sigma_int,epsilon_ref,lambda_ref,omega_ref,sigma_ref
69594,2.0,2.0,0.0,2,2,3.5,2.666666666666667,1.8781205660633702,2,7,1.5,54.6875,70.3125,89.0625,91.9375,3935.8468749970193,2236.47096774655,28.125,15.625,2.875,-1676.379032246528,64,4,0.6000000000000001,4.05,0.2,0.2,0.5,4.05,0.2,1.0
69600,3.5,2.666666666666667,1.8781205660633702,2,7,3.5,2.666666666666667,1.8781205660633702,2,7,0.0,90.625,98.4375,74.796875,82.390625,4447.815625000047,6991.054687499768,10.9375,7.8125,7.59375,2543.2390624997215,64,4,0.5,4.05,0.2,1.0,0.5,4.05,0.2,1.0
69602,2.0,2.0,0.0,2,2,3.5628415300546448,3.0,1.9017934845303428,2,7,1.562841530054645,63.934426229508205,83.60655737704919,65.36065573770492,81.75409836065573,5053.2885245905545,3331.546666666866,22.950819672131146,19.672131147540984,16.39344262295082,-1698.6766666670633,61,4,0.6000000000000001,4.05,0.2,0.2,0.5,4.05,0.2,1.0
69606,2.0793650793650795,2.0,0.14311293024703073,2,3,2.0793650793650795,2.0,0.14311293024703073,2,3,0.0,46.03174603174603,49.2063492063492,63.15873015873016,60.61904761904762,3152.0841269840503,613.0095238093702,6.349206349206349,3.1746031746031744,-2.5396825396825395,-2539.07460317468,63,4,0.5,4.05,0.5,0.1,0.5,4.05,0.5,0.1
69618,3.7096774193548385,3.0,2.185799400658467,2,8,3.3655913978494625,2.3333333333333335,1.9675969619834224,2,7,-0.34408602150537615,54.83870967741935,54.83870967741935,49.516129032258064,50.24193548387097,4751.529032258257,3813.4299999998266,19.35483870967742,0.0,0.7258064516129032,-899.6083333338294,62,4,0.6000000000000001,4.05,0.1,0.9,0.5,4.05,0.7000000000000001,0.30000000000000004
69623,2.0846560846560847,2.0,0.1462586451600876,2,3,2.0846560846560847,2.0,0.1462586451600876,2,3,0.0,58.730158730158735,61.904761904761905,50.22222222222222,55.0,4585.799999999932,1558.6903225806268,6.349206349206349,3.1746031746031744,4.777777777777778,-2990.861290322527,63,4,0.5,4.05,0.5,0.1,0.5,4.05,0.5,0.1
69624,2.0833333333333335,2.0,0.14547859349066164,2,3,3.0,2.6666666666666665,1.0079052613579396,2,6,0.9166666666666666,48.4375,53.125,94.078125,97.109375,3715.0031249523167,2615.3063491336884,7.8125,4.6875,3.03125,-1075.2904762237793,64,4,0.5,4.05,0.5,0.1,0.1,4.84,0.0,0.4
69628,2.0860215053763445,2.0,0.1470472443190055,2,3,2.0860215053763445,2.0,0.1470472443190055,2,3,0.0,56.451612903225815,66.12903225806451,55.693548387096776,65.70967741935483,5446.014516134416,3986.1901639426333,16.129032258064516,9.67741935483871,10.016129032258064,-1452.406557374314,62,4,0.5,4.05,0.5,0.1,0.5,4.05,0.5,0.1
69630,2.081967213114754,2.0,0.14473139495244855,2,3,2.081967213114754,2.0,0.14473139495244855,2,3,0.0,45.90163934426229,47.540983606557376,49.18032786885246,49.49180327868852,4378.493442625296,517.0881355879669,1.639344262295082,1.639344262295082,0.3114754098360656,-3844.1322033991255,61,4,0.5,4.05,0.5,0.1,0.5,4.05,0.5,0.1
69636,3.471264367816092,2.666666666666667,1.8543815483697503,2,7,3.471264367816092,2.666666666666667,1.8543815483697503,2,7,0.0,87.93103448275862,98.27586206896551,49.56896551724138,75.82758620689656,4982.3448275862065,6165.625,13.793103448275861,10.344827586206897,26.25862068965517,1235.5,58,4,0.5,4.05,0.2,1.0,0.5,4.05,0.2,1.0
69654,2.0846560846560847,2.0,0.14625864516008763,2,3,2.0846560846560847,2.0,0.14625864516008763,2,3,0.0,46.03174603174603,49.2063492063492,50.82539682539682,72.7936507936508,4467.377777786482,4251.295161297245,15.873015873015872,3.1746031746031744,21.96825396825397,-188.35322580798973,63,4,0.5,4.05,0.5,0.1,0.5,4.05,0.5,0.1
69658,3.844444444444444,2.6666666666666665,2.434425624872999,2,8,3.338888888888889,2.3333333333333335,1.9421886295991262,2,7,-0.5055555555555553,50.0,40.0,75.45,79.46666666666667,4381.681666652362,1159.8779661130095,13.333333333333334,-10.0,4.016666666666667,-3215.413559295364,60,4,0.5,4.05,0.9,0.9,0.5,4.05,0.7000000000000001,0.30000000000000004
69663,3.4731182795698925,2.666666666666667,1.8549872589243008,2,7,3.4731182795698925,2.666666666666667,1.8549872589243008,2,7,0.0,80.64516129032258,95.16129032258065,49.53225806451613,83.75806451612904,4632.506451608673,6835.26721311788,17.741935483870968,14.516129032258066,34.225806451612904,2220.513114761133,62,4,0.5,4.05,0.2,1.0,0.5,4.05,0.2,1.0
69666,2.946236559139785,2.6666666666666665,0.9773268407687653,2,6,3.5483870967741935,2.3333333333333335,2.0935296053209678,2,8,0.6021505376344085,48.38709677419355,51.61290322580645,91.2258064516129,90.53225806451613,4210.9209677420795,1072.1344262307791,3.225806451612903,3.225806451612903,-0.6935483870967742,-3125.559016392123,62,4,0.1,4.84,0.0,0.4,0.6000000000000001,4.05,0.1,0.9
69668,2.0860215053763445,2.0,0.14704724431900545,2,3,2.0860215053763445,2.0,0.14704724431900545,2,3,0.0,56.451612903225815,43.54838709677419,62.41935483870968,79.06451612903226,4307.575806456228,5552.11333331267,16.129032258064516,-12.903225806451612,16.64516129032258,1295.381666644414,62,4,0.5,4.05,0.5,0.1,0.5,4.05,0.5,0.1
69670,2.0860215053763445,2.0,0.14704724431900545,2,3,2.0860215053763445,2.0,0.14704724431900545,2,3,0.0,53.2258064516129,53.2258064516129,85.45161290322581,81.85483870967742,4089.0322580644565,1121.6442622951554,6.451612903225806,0.0,-3.596774193548387,-2933.588524590017,62,4,0.5,4.05,0.5,0.1,0.5,4.05,0.5,0.1
69672,2.0,2.0,0.0,2,2,2.0,2.0,0.0,2,2,0.0,53.96825396825397,46.03174603174603,90.39682539682539,94.11111111111111,3715.0968253968235,582.0885245901624,17.46031746031746,-7.936507936507936,3.7142857142857144,-3244.481967213115,63,4,0.6000000000000001,4.05,0.2,0.2,0.6000000000000001,4.05,0.2,0.2
69683,3.7916666666666665,2.666666666666667,2.10316646482012,2,7,3.7916666666666665,2.666666666666667,2.10316646482012,2,7,0.0,95.83333333333334,100.0,76.08333333333333,100.0,4863.187500004968,5362.825000002982,4.166666666666666,4.166666666666666,23.916666666666668,499.637499998014,24,4,0.5,4.05,0.2,1.0,0.5,4.05,0.2,1.0
69687,2.0866666666666664,2.0,0.1476958325644841,2,3,2.0866666666666664,2.0,0.1476958325644841,2,3,0.0,56.00000000000001,52.0,67.32,82.26,4063.7920000001786,1483.6000000002232,8.0,-4.0,14.94,-2580.1919999999554,50,4,0.5,4.05,0.5,0.1,0.5,4.05,0.5,0.1
69705,3.370967741935484,2.3333333333333335,1.9642569646943786,2,7,3.370967741935484,2.3333333333333335,1.9642569646943786,2,7,0.0,48.38709677419355,50.0,99.96774193548387,99.98387096774194,4361.466129032384,1922.9645161290741,1.6129032258064515,1.6129032258064515,0.016129032258064516,-2438.5016129033106,62,4,0.5,4.05,0.7000000000000001,0.30000000000000004,0.5,4.05,0.7000000000000001,0.30000000000000004
69718,2.0,2.0,0.0,2,2,2.988505747126437,2.6666666666666665,0.9930862702315127,2,6,0.9885057471264368,50.0,51.724137931034484,68.82758620689656,72.84482758620689,4390.153448275965,1712.7034482734991,15.517241379310345,1.7241379310344827,4.017241379310345,-2677.4500000024655,58,4,0.6000000000000001,4.05,0.2,0.2,0.1,4.84,0.0,0.4
69719,3.5055555555555555,2.666666666666667,1.8750936364984985,2,7,3.5055555555555555,2.666666666666667,1.8750936364984985,2,7,0.0,96.66666666666667,98.33333333333333,78.26666666666667,92.5,4276.720000002782,3268.6275862003204,5.0,1.6666666666666667,14.233333333333333,-1010.9017241473853,60,4,0.5,4.05,0.2,1.0,0.5,4.05,0.2,1.0
69730,2.0,2.0,0.0,2,2,3.0,2.6666666666666665,1.0079052613579393,2,6,1.0,46.875,54.6875,64.6875,66.90625,3436.9234374947846,1453.927419354839,14.0625,7.8125,2.21875,-1936.4903225764149,64,4,0.6000000000000001,4.05,0.2,0.2,0.1,4.84,0.0,0.4
69734,2.0833333333333335,2.0,0.14555562743489564,2,3,2.0,2.0,0.0,2,2,-0.08333333333333336,55.00000000000001,60.0,77.58333333333333,87.93333333333334,4656.375,4422.952542373689,5.0,5.0,10.35,-243.105084744551,60,4,0.5,4.05,0.5,0.1,0.6000000000000001,4.05,0.2,0.2
69738,3.532258064516129,2.666666666666667,1.8976158730174306,2,7,3.532258064516129,2.666666666666667,1.8976158730174306,2,7,0.0,85.48387096774194,93.54838709677419,68.64516129032258,80.93548387096774,4421.709677419355,3908.5049180359138,11.29032258064516,8.064516129032258,12.290322580645162,-489.7540983567472,62,4,0.5,4.05,0.2,1.0,0.5,4.05,0.2,1.0
69743,2.0833333333333335,2.0,0.14547859349066164,2,3,2.0833333333333335,2.0,0.14547859349066164,2,3,0.0,40.625,50.0,83.09375,88.96875,1833.996875006705,4116.366129033989,28.125,9.375,5.875,2281.003225801453,64,4,0.5,4.05,0.5,0.1,0.5,4.05,0.5,0.1
69745,2.0,2.0,0.0,2,2,2.0833333333333335,2.0,0.1455556274348955,2,3,0.08333333333333336,50.0,50.0,70.58333333333333,76.05,4471.05,2259.6966101638354,13.333333333333334,0.0,5.466666666666667,-2168.5220339035573,60,4,0.6000000000000001,4.05,0.2,0.2,0.5,4.05,0.5,0.1
69746,2.0873015873015874,2.0,0.14833353995644352,2,3,3.634920634920635,2.6666666666666665,2.3243841435236314,2,8,1.5476190476190477,54.761904761904766,64.28571428571429,60.666666666666664,66.9047619047619,4250.792857136044,4617.03658537167,14.285714285714285,9.523809523809524,6.238095238095238,397.0146341614629,42,4,0.5,4.05,0.5,0.1,0.5,4.05,0.9,0.9
69750,2.9735449735449735,2.6666666666666665,0.9933499083945606,2,6,2.0846560846560847,2.0,0.1462586451600876,2,3,-0.8888888888888888,46.03174603174603,46.03174603174603,55.142857142857146,75.31746031746032,4879.698412698407,3023.903225806461,19.047619047619047,0.0,20.174603174603174,-1851.741935483856,63,4,0.1,4.84,0.0,0.4,0.5,4.05,0.5,0.1
69755,3.5,2.666666666666667,1.8781205660633704,2,7,3.5,2.666666666666667,1.8781205660633704,2,7,0.0,85.9375,93.75,72.765625,92.671875,4191.768750006332,5668.193750003355,10.9375,7.8125,19.90625,1476.4249999970218,64,4,0.5,4.05,0.2,1.0,0.5,4.05,0.2,1.0
69768,2.0846560846560847,2.0,0.14625864516008757,2,3,2.0846560846560847,2.0,0.14625864516008757,2,3,0.0,49.2063492063492,46.03174603174603,50.98412698412698,55.904761904761905,3609.7984126986025,3638.349206349208,25.396825396825395,-3.1746031746031744,4.920634920634921,28.550793650605772,63,4,0.5,4.05,0.5,0.1,0.5,4.05,0.5,0.1
