subject_id,task_type,models_n3,models_n10,models_n20,difference_n10_minus_n3,difference_n20_minus_n3,difference_n20_minus_n10
64189,AC,3.0,3.0,2.85,0.0,-0.1499999999999999,-0.1499999999999999
64189,DA,5.3333,6.4,6.65,1.0667,1.3167,0.25
64189,MP,2.3333,2.4,2.75,0.06669999999999998,0.41670000000000007,0.3500000000000001
64189,MT,2.0,2.0,2.0,0.0,0.0,0.0
64222,AC,3.0,3.0,2.85,0.0,-0.1499999999999999,-0.1499999999999999
64222,DA,5.3333,6.4,6.65,1.0667,1.3167,0.25
64222,MP,2.3333,2.4,2.75,0.06669999999999998,0.41670000000000007,0.3500000000000001
64222,MT,2.0,2.0,2.0,0.0,0.0,0.0
64250,AC,3.0,3.0,2.85,0.0,-0.1499999999999999,-0.1499999999999999
64250,DA,5.3333,6.4,6.65,1.0667,1.3167,0.25
64250,MP,2.3333,2.4,2.75,0.06669999999999998,0.41670000000000007,0.3500000000000001
64250,MT,2.0,2.0,2.0,0.0,0.0,0.0
64258,AC,3.0,2.9,2.95,-0.10000000000000009,-0.04999999999999982,0.050000000000000266
64258,DA,6.3333,6.6,6.6,0.26669999999999927,0.26669999999999927,0.0
64258,MP,2.0,2.5,2.5,0.5,0.5,0.0
64258,MT,2.0,2.0,2.0,0.0,0.0,0.0
64270,AC,3.0,3.0,2.85,0.0,-0.1499999999999999,-0.1499999999999999
64270,DA,5.3333,6.4,6.65,1.0667,1.3167,0.25
64270,MP,2.3333,2.4,2.75,0.06669999999999998,0.41670000000000007,0.3500000000000001
64270,MT,2.0,2.0,2.0,0.0,0.0,0.0
64312,AC,2.6667,2.5,2.5,-0.16670000000000007,-0.16670000000000007,0.0
64312,DA,3.3333,4.5,4.7,1.1667,1.3667000000000002,0.20000000000000018
64312,MP,2.3333,2.4,2.35,0.06669999999999998,0.01670000000000016,-0.04999999999999982
64312,MT,2.0,2.0,2.0,0.0,0.0,0.0
64363,AC,2.0,2.0,2.1,0.0,0.10000000000000009,0.10000000000000009
64363,DA,2.0,2.9,2.75,0.8999999999999999,0.75,-0.1499999999999999
64363,MP,2.3333,2.2,2.0,-0.13329999999999975,-0.33329999999999993,-0.20000000000000018
64363,MT,2.0,2.0,2.0,0.0,0.0,0.0
64369,AC,3.0,3.0,2.85,0.0,-0.1499999999999999,-0.1499999999999999
64369,DA,5.3333,6.4,6.65,1.0667,1.3167,0.25
64369,MP,2.3333,2.4,2.75,0.06669999999999998,0.41670000000000007,0.3500000000000001
64369,MT,2.0,2.0,2.0,0.0,0.0,0.0
64386,AC,3.0,3.0,2.85,0.0,-0.1499999999999999,-0.1499999999999999
64386,DA,5.3333,6.4,6.65,1.0667,1.3167,0.25
64386,MP,2.3333,2.4,2.75,0.06669999999999998,0.41670000000000007,0.3500000000000001
64386,MT,2.0,2.0,2.0,0.0,0.0,0.0
64388,AC,3.0,3.0,2.85,0.0,-0.1499999999999999,-0.1499999999999999
64388,DA,5.3333,6.4,6.65,1.0667,1.3167,0.25
64388,MP,2.3333,2.4,2.75,0.06669999999999998,0.41670000000000007,0.3500000000000001
64388,MT,2.0,2.0,2.0,0.0,0.0,0.0
64392,AC,2.0,2.0,2.1,0.0,0.10000000000000009,0.10000000000000009
64392,DA,2.0,2.9,2.75,0.8999999999999999,0.75,-0.1499999999999999
64392,MP,2.3333,2.2,2.0,-0.13329999999999975,-0.33329999999999993,-0.20000000000000018
64392,MT,2.0,2.0,2.0,0.0,0.0,0.0
64434,AC,2.6667,2.9,2.75,0.23329999999999984,0.08329999999999993,-0.1499999999999999
64434,DA,7.3333,5.6,6.15,-1.7333000000000007,-1.1833,0.5500000000000007
64434,MP,2.6667,2.5,2.4,-0.16670000000000007,-0.26670000000000016,-0.10000000000000009
64434,MT,2.0,2.0,2.0,0.0,0.0,0.0
64438,AC,3.0,3.0,2.85,0.0,-0.1499999999999999,-0.1499999999999999
64438,DA,5.3333,6.4,6.65,1.0667,1.3167,0.25
64438,MP,2.3333,2.4,2.75,0.06669999999999998,0.41670000000000007,0.3500000000000001
64438,MT,2.0,2.0,2.0,0.0,0.0,0.0
64450,AC,2.3333,2.1,2.2,-0.23329999999999984,-0.13329999999999975,0.10000000000000009
64450,DA,3.6667,3.4,2.5,-0.26670000000000016,-1.1667,-0.8999999999999999
64450,MP,2.3333,2.3,2.15,-0.03330000000000011,-0.18330000000000002,-0.1499999999999999
64450,MT,2.0,2.0,2.0,0.0,0.0,0.0
64597,AC,3.0,2.7,2.45,-0.2999999999999998,-0.5499999999999998,-0.25
64597,DA,3.3333,5.1,4.2,1.7666999999999997,0.8667000000000002,-0.8999999999999995
64597,MP,2.3333,2.5,2.3,0.16670000000000007,-0.03330000000000011,-0.20000000000000018
64597,MT,2.0,2.0,2.0,0.0,0.0,0.0
64615,AC,2.3333,2.1,2.2,-0.23329999999999984,-0.13329999999999975,0.10000000000000009
64615,DA,3.6667,3.4,2.5,-0.26670000000000016,-1.1667,-0.8999999999999999
64615,MP,2.3333,2.3,2.15,-0.03330000000000011,-0.18330000000000002,-0.1499999999999999
64615,MT,2.0,2.0,2.0,0.0,0.0,0.0
64652,AC,3.0,3.0,2.85,0.0,-0.1499999999999999,-0.1499999999999999
64652,DA,5.3333,6.4,6.65,1.0667,1.3167,0.25
64652,MP,2.3333,2.4,2.75,0.06669999999999998,0.41670000000000007,0.3500000000000001
