comparison,n_combinations,pearson_correlation,spearman_correlation,mean_difference,mean_absolute_difference,root_mean_squared_difference,maximum_absolute_difference,rate_absolute_difference_gt_0_25,rate_absolute_difference_gt_0_50
3_vs_10,604,0.9350556129382812,0.8587850530815488,0.2231360927152318,0.31518377483443705,0.5772506967978838,1.7666999999999997,0.3029801324503311,0.22019867549668873
3_vs_20,604,0.9366166188813118,0.7862944023862867,0.18629834437086096,0.3843592715231788,0.5809440730055389,1.3667000000000002,0.46688741721854304,0.2781456953642384
10_vs_20,604,0.9807039802969216,0.9306163537190943,-0.03683774834437081,0.18667218543046357,0.2821174078075996,0.8999999999999999,0.16390728476821192,0.06456953642384106
