parameter,estimate_n3,standard_error_n3,p_value_n3,ci_95_lower_n3,ci_95_upper_n3,estimate_n20,standard_error_n20,p_value_n20,ci_95_lower_n20,ci_95_upper_n20,absolute_change,absolute_change_magnitude,relative_change_percent,sign_n3,sign_n20,sign_changed,significant_n3_0_05,significant_n20_0_05,significance_changed
"C(condition, Treatment(reference='Neutral'))[T.Standard]",5.149965954639803,2.534722970902356,0.0421772707094738,0.1819089316711846,10.11802297760842,5.261253367669266,2.5223554384158007,0.0369922745449214,0.3174367083742968,10.205070026964234,0.11128741302946299,0.11128741302946299,2.160934926748397,1.0,1.0,False,True,True,False
Intercept,72.80542017274854,1.7877873107022568,0.0,69.30135704377211,76.30948330172497,72.72520514372667,1.7816185110292075,0.0,69.23323286210942,76.21717742534392,-0.08021502902187194,0.08021502902187194,-0.11017727640544112,1.0,1.0,False,True,True,False
item_entropy_z,-2.4373456769425488,0.2773187489240502,1.5093972514550769e-18,-2.9808904248336874,-1.8938009290514104,-2.4296941413587536,0.2770039634619957,1.7656266060794292e-18,-2.972621909744265,-1.8867663729732425,0.007651535583795166,0.007651535583795166,0.31392902763769615,-1.0,-1.0,False,True,True,False
models_within_subject_z,-0.3659504747871121,0.2463311097174223,0.1373839040695144,-0.8487594498332598,0.1168585002590356,-0.3420471170565753,0.2610773299758767,0.1901494323956947,-0.8537586838092939,0.169664449696143,0.02390335773053681,0.02390335773053681,6.531855914230563,-1.0,-1.0,False,False,False,False
sequence_c10,-0.4368513558756832,0.0965895605781998,6.10385725670941e-06,-0.6261668946089548,-0.2475358171424116,-0.4373510359169138,0.0965910723241275,5.958350037952848e-06,-0.6266695376722038,-0.2480325341616238,-0.0004996800412306324,0.0004996800412306324,-0.11438216558330395,-1.0,-1.0,False,True,True,False
subject_accuracy_z,0.3097927012185791,1.5030092273041582,0.8367011057631265,-2.636105384297571,3.255690786734729,0.6960524470086707,1.5837461472264731,0.6603011046870846,-2.4080900015552165,3.800194895572558,0.38625974579009165,0.38625974579009165,124.68329443228556,1.0,1.0,False,False,False,False
subject_mean_models_z,-1.8005399656231311,1.5077349911775129,0.2323990066829696,-4.755700548331056,1.154620617084794,-2.2408013232653503,1.582873061157886,0.1568766951716671,-5.343232523134807,0.8616298766041064,-0.4402613576422192,0.4402613576422192,-24.45162929165271,-1.0,-1.0,False,False,False,False
validity_binary,0.6776247923806397,0.6215276075599633,0.275599974021985,-0.5405693184368884,1.895818903198168,0.725978164985429,0.621801913198329,0.2429926505789307,-0.4927535848832959,1.9447099148541536,0.048353372604789335,0.048353372604789335,7.135714800946653,1.0,1.0,False,False,False,False
