"sona_id","age","gender","condition","stimulus","type","validity","believability","conflict","qnum","total_qnum","response","correct","rt","logRT","feelingR","rt_for","trial_num","statementEval"
"63873",18,"Female","Standard","<p>All African countries are warm.</p><p>The North Pole is not an African country.</p>","DA","Invalid","Believable","Conflict","2",2,"Yes","false",2178.39999997616,7.6863459413486,100,1848,27,0
"63873",18,"Female","Standard","<p>All lava is liquid.</p><p>Water is not lava.</p>","DA","Invalid","Unbelievable","No-conflict","6",58,"No","true",1584.70000004768,7.36815039397885,100,2130.69999992847,28,0
"63873",18,"Female","Standard","<p>All cycling requires shoes.</p><p>Swimming does not require shoes.</p>","MT","Valid","Believable","No-conflict","7",15,"Yes","true",9892.39999997616,9.19952206453789,100,1524.30000007153,29,10
"63873",18,"Female","Standard","<p>All things made of metal shine.</p><p>Old pennies don't shine</p>","MT","Valid","Unbelievable","Conflict","4",100,"No","false",4689.70000004768,8.45312389351973,100,1951.19999992847,30,4
"63873",18,"Female","Standard","<p>All Scandinavian countries are cold.</p><p>Indonesia is not cold.</p>","MT","Valid","Believable","No-conflict","5",83,"Yes","true",1847.5,7.52158865282236,100,2473.70000004768,31,10
"63873",18,"Female","Standard","<p>All birds have feathers.</p><p>Parrots have feathers.</p>","AC","Invalid","Believable","Conflict","7",8,"Yes","false",10265.7000000477,9.2365635200211,100,2042,32,10
"63873",18,"Female","Standard","<p>All trees have roots.</p><p>Oaks have roots.</p>","AC","Invalid","Believable","Conflict","1",116,"Yes","false",1223,7.10906213568717,100,1999.5,33,10
"63873",18,"Female","Standard","<p>All humans have two legs.</p><p>Leg amputees do not have two legs.</p>","MT","Valid","Unbelievable","Conflict","3",51,"No","false",1486.39999997616,7.30411236804353,100,1907.40000009537,34,0
"63873",18,"Female","Standard","<p>All plants are green.</p><p>Mushrooms are not green.</p>","MT","Valid","Believable","No-conflict","6",76,"No","false",4788.09999990463,8.47388895198705,100,2059.19999992847,35,7
"63873",18,"Female","Standard","<p>All mammals have teeth.</p><p>Sharks are not mammals.</p>","DA","Invalid","Unbelievable","No-conflict","5",67,"No","true",7105,8.8685540405312,100,2210.60000002384,36,0
"63873",18,"Female","Standard","<p>All cycling requires shoes.</p><p>Swimming is not cycling.</p>","DA","Invalid","Believable","Conflict","7",16,"Yes","false",5045.69999992847,8.52629167438732,100,1642.60000002384,37,10
"63873",18,"Female","Standard","<p>All fruits can be eaten.</p><p>Knives cannot be eaten.</p>","MT","Valid","Believable","No-conflict","2",29,"Yes","true",1850.29999995232,7.5231030670619,100,1872.10000002384,38,10
"63873",18,"Female","Standard","<p>All flowers need air.</p><p>Daisies need air.</p>","AC","Invalid","Believable","Conflict","5",23,"Yes","false",836.299999952316,6.72898740033046,100,1833.89999997616,39,10
"63873",18,"Female","Standard","<p>All African countries are warm.</p><p>The North Pole is not warm.</p>","MT","Valid","Believable","No-conflict","1",3,"Yes","true",5570.5,8.62524009549937,100,1626.19999992847,40,10
"63873",18,"Female","Standard","<p>All glass objects are fragile.</p><p>Sofas are not made of glass.</p>","DA","Invalid","Believable","Conflict","8",36,"Yes","false",6497.5,8.77917276651564,78,2732,41,3
"63873",18,"Female","Standard","<p>All trees have roots.</p><p>Oaks are trees.</p>","MP","Valid","Believable","No-conflict","2",115,"Yes","true",2335.10000002384,7.75580999574864,100,1911.30000007153,42,10
"63873",18,"Female","Standard","<p>All things made of metal shine.</p><p>Diamonds shine.</p>","AC","Invalid","Unbelievable","No-conflict","3",99,"Yes","false",NA,NA,100,1918.29999995232,43,9
"63873",18,"Female","Standard","<p>All mammals have fur.</p><p>Hedgehogs don't have fur.</p>","MT","Valid","Unbelievable","Conflict","5",66,"No","false",6300.20000004768,8.74833665791504,100,2843,44,1
"63873",18,"Female","Standard","<p>All plants are green.</p><p>Mushroom are not plants.</p>","DA","Invalid","Believable","Conflict","6",75,"Yes","false",4995,8.51619269108265,100,1979,45,8
"63873",18,"Female","Standard","<p>All flowers need water.</p><p>Roses are flowers.</p>","MP","Valid","Believable","No-conflict","1",26,"Yes","true",3137.30000007153,8.05111783641112,100,1829.80000007153,46,9
"63873",18,"Female","Standard","<p>All trees have branches.</p><p>Maples are trees.</p>","MP","Valid","Believable","No-conflict","6",113,"Yes","true",1665.79999995232,7.41806076747261,100,1729.10000002384,47,4
"63873",18,"Female","Standard","<p>All lava is liquid.</p><p>Water is liquid.</p>","AC","Invalid","Unbelievable","No-conflict","7",57,"No","true",1915.79999995232,7.5578905689239,100,3304.10000002384,48,0
"63873",18,"Female","Standard","<p>All mammals can walk.</p><p>Whales are mammals.</p>","MP","Valid","Unbelievable","Conflict","1",64,"No","false",2686.60000002384,7.89603173263779,100,2029.39999997616,49,5
"63873",18,"Female","Standard","<p>All flowers need water.</p><p>Roses need water.</p>","AC","Invalid","Believable","Conflict","2",27,"Yes","false",5291.90000009537,8.57393262862686,100,1780.30000007153,50,10
"63873",18,"Female","Standard","<p>All humans have two legs.</p><p>Leg amputees are human.</p>","MP","Valid","Unbelievable","Conflict","2",50,"No","false",5178.70000004768,8.55230933851472,100,2604.10000002384,51,0
"63873",18,"Female","Standard","<p>All reptiles have legs.</p><p>Snakes are reptiles.</p>","MP","Valid","Unbelievable","Conflict","5",81,"No","false",15184.1999999285,9.628010692518,100,1782.79999995232,52,0
"63873",18,"Female","Standard","<p>All birds can fly.</p><p>Penguins cannot fly.</p>","MT","Valid","Unbelievable","Conflict","1",5,"No","false",1921.90000009537,7.56106955908998,100,2222,53,1
"63873",18,"Female","Standard","<p>All trees will become tall.</p><p>Skyscrapers under construction will become tall.</p>","AC","Invalid","Unbelievable","No-conflict","4",121,"No","true",2948.5,7.98905184544056,100,2234.29999995232,54,0
"63873",18,"Female","Standard","<p>All sports require equipment.</p><p>Talking is not a sport.</p>","DA","Invalid","Believable","Conflict","4",91,"Yes","false",5221.19999992847,8.56048253950093,100,1731.10000002384,55,9
"63873",18,"Female","Standard","<p>All things made of wood can be used as fuel.</p><p>Trees can be used as fuel.</p>","AC","Invalid","Believable","Conflict","3",102,"Yes","false",2239.60000002384,7.71405255748538,100,2240.30000007153,56,9
"63873",18,"Female","Standard","<p>All fuel is liquid.</p><p>Coal is not a liquid.</p>","MT","Valid","Unbelievable","Conflict","6",32,"No","false",1701.19999992847,7.43908916333743,100,2132.20000004768,57,1
"63873",18,"Female","Standard","<p>All vehicles have wheels.</p><p>Trolley suitcases are not vehicles.</p>","DA","Invalid","Unbelievable","No-conflict","2",123,"No","true",3100.5,8.03931866778993,100,2544.20000004768,58,2
"63873",18,"Female","Standard","<p>All trees have branches.</p><p>Maples have branches.</p>","AC","Invalid","Believable","Conflict","6",114,"Yes","false",992.5,6.90022701256135,100,2132.89999997616,59,10
"63873",18,"Female","Standard","<p>All vehicles have wheels.</p><p>Trolley suitcases have wheels.</p>","AC","Invalid","Unbelievable","No-conflict","1",124,"Yes","false",122,4.80402104473326,100,1715.89999997616,60,3
"63873",18,"Female","Standard","<p>All humans have skin.</p><p>Newborns are human.</p>","MP","Valid","Believable","No-conflict","8",48,"Yes","true",556.299999952316,6.32130771699553,100,1862.40000009537,61,10
"63873",18,"Female","Standard","<p>All metals are solid.</p><p>Ceramic is not a metal.</p>","DA","Invalid","Unbelievable","No-conflict","1",72,"Yes","false",3374.60000002384,8.1240320777713,100,1816.89999997616,62,0
"63873",18,"Female","Standard","<p>All things that are smoked are bad for your heath.</p><p>Salad is not bad for your health.</p>","MT","Valid","Believable","No-conflict","4",106,"Yes","true",3467.59999990463,8.15121799096698,100,1793.80000007153,63,10
"63873",18,"Female","Standard","<p>All plants need sunlight.</p><p>Solar panels need sunlight.</p>","AC","Invalid","Unbelievable","No-conflict","8",80,"No","true",884.899999976158,6.78547464424636,100,2057,64,0
"63884",18,"Female","Neutral","<p>All smolns are solid.</p><p>Ceramic is not a smoln.</p>","DA","Invalid","Unbelievable","No-conflict","1",89,"No","true",2632.90000000596,7.87584117928626,72,3038.40000000596,1,2
"63884",18,"Female","Neutral","<p>All greembs have branches.</p><p>Maples are greembs.</p>","MP","Valid","Believable","No-conflict","6",40,"Yes","true",3286.59999999404,8.09760887474538,70,3012.70000001788,2,8
"63884",18,"Female","Neutral","<p>All Scandinavian countries are volmy.</p><p>Indonesia is not volmy.</p>","MT","Valid","Believable","No-conflict","5",84,"Yes","true",4316.80000001192,8.3702696660162,75,2331.79999998212,3,2
"63884",18,"Female","Neutral","<p>All joughts are green.</p><p>Solar panels are not joughts.</p>","DA","Invalid","Unbelievable","No-conflict","8",54,"No","true",2229.90000000596,7.70971202040203,78,4082.69999998808,4,0
"63884",18,"Female","Neutral","<p>All vehicles need rorgs.</p><p>Bicycles do not need rorgs.</p>","MT","Valid","Unbelievable","Conflict","8",126,"Yes","true",8891.80000001192,9.09288478270472,63,3506.5,5,3
"63884",18,"Female","Neutral","<p>All plants need draks.</p><p>Solar panels need draks.</p>","AC","Invalid","Unbelievable","No-conflict","8",78,"No","true",5166.20000001788,8.54989268758271,70,4482.70000001788,6,3
"63884",18,"Female","Neutral","<p>All flowers need vak.</p><p>Roses need vak.</p>","AC","Invalid","Believable","Conflict","2",25,"Yes","false",2011.5,7.60663599138984,81,2738.79999998212,7,9
"63884",18,"Female","Neutral","<p>All taizes have wheels.</p><p>Trolley suitcasees are not taizes.</p>","DA","Invalid","Unbelievable","No-conflict","2",96,"No","true",3879.5,8.263461558334,19,2333.5,8,3
"63884",18,"Female","Neutral","<p>All flowers need grurm.</p><p>Daisies need grurm.</p>","AC","Invalid","Believable","Conflict","5",24,"Yes","false",3179.80000001192,8.06457358071836,82,2534.79999998212,9,9
"63884",18,"Female","Neutral","<p>All mammals have bribbs.</p><p>Hedgehogs don't have bribbs.</p>","MT","Valid","Unbelievable","Conflict","5",65,"No","false",6449.09999999404,8.77169586516928,27,2018.30000001192,10,7
"63884",18,"Female","Neutral","<p>All fuel is veag.</p><p>Coal is not veag.</p>","MT","Valid","Unbelievable","Conflict","6",33,"No","false",NA,NA,66,2228.29999998212,11,6
"63884",18,"Female","Neutral","<p>All Hult countries are cold.</p><p>Indonesia is not a Hult country.</p>","DA","Invalid","Believable","Conflict","5",45,"No","true",2717.90000000596,7.9076148022778,58,2197.90000000596,12,6
"63884",18,"Female","Neutral","<p>All things that are nank are bad for your health.</p><p>Salad is not nank.</p>","DA","Invalid","Believable","Conflict","3",104,"Yes","false",5978.30000001192,8.69589152559473,75,2804.20000001788,13,9
