item_id,n_observations,mean_residual,residual_sd,mean_absolute_residual,max_absolute_standardized_residual,rate_abs_standardized_residual_gt_2
96,70,-3.6061458876850927,22.530995105333265,16.165352157130275,4.256167642425435,0.18571428571428572
50,71,-3.3589001497169075,23.93044513824234,16.16234594649843,4.915867905191513,0.14084507042253522
102,71,-0.4936576846830293,23.608688439550452,15.553924374992121,5.366865539518101,0.14084507042253522
63,71,-1.5106551167717615,20.71853324183074,15.070353189947573,3.435368387443428,0.1267605633802817
61,70,-1.9516198760977272,22.449303978464652,15.02102213512911,4.870855637619635,0.11428571428571428
119,70,-4.636064903557675,21.31499803265216,14.980446480188162,4.339554621801059,0.1
110,71,-2.591785025532932,20.015277654827155,14.934177874615402,3.3966768399548752,0.09859154929577464
98,70,-2.044136300198572,20.926140621147866,14.749853009241347,3.768313704228249,0.12857142857142856
73,71,-1.1001428629510324,20.058305340670728,14.627290442256099,3.447058091004605,0.09859154929577464
76,71,-1.1898423578598756,23.507426856827873,14.509635377370115,5.664374323153116,0.08450704225352113
46,70,-0.6210068754398427,20.363803748584438,14.462816819443873,3.651852635981657,0.11428571428571428
74,70,-0.3897907868707726,22.91700492168372,14.398717434064153,5.702821687445036,0.1
125,71,-2.1327633601462455,20.316420643963674,14.389171644173626,4.529835584876755,0.09859154929577464
112,71,-1.246123535193132,20.69198639144734,14.124989241223354,4.368703603407696,0.09859154929577464
42,70,0.06944858165310168,21.460463490962237,14.118561944287936,3.942801628370911,0.11428571428571428
51,71,-0.7050805264322292,21.25470238698909,14.108164887468424,5.467191902316719,0.09859154929577464
95,70,-0.44844897671062883,20.449222842869805,13.906475763817886,4.104577905531808,0.12857142857142856
65,70,-1.787792271197985,21.166381537816854,13.894334118531035,4.533916284589044,0.11428571428571428
68,71,-0.9256119508981338,20.538717373307264,13.741446941695626,5.633714404079145,0.056338028169014086
75,71,-1.0350832619607142,18.973585381844334,13.72338893373552,3.707036383980968,0.09859154929577464
62,70,-2.652647028814329,18.6010141616368,13.558745246609353,3.595492055903136,0.11428571428571428
89,70,-1.9212064181971868,20.447379848201795,13.395510580276909,5.186661424622321,0.1
78,70,-1.9943128261411942,20.52056700163408,13.39548881284266,4.457979664954077,0.08571428571428572
123,71,-1.3312766904098308,20.61487492696517,13.200399712521369,5.779615858081683,0.08450704225352113
120,71,0.1750870748899916,18.030466505743632,13.112891598371457,3.3504533433070187,0.09859154929577464
54,70,-1.1548155003649638,20.292292899417074,12.925853824498457,4.1945524800611,0.08571428571428572
3,71,0.2950057841210874,18.766468865068678,12.854919356746011,3.997087443190406,0.07042253521126761
