subject_id,n_observations,mean_residual,residual_sd,mean_absolute_residual,max_absolute_standardized_residual,rate_abs_standardized_residual_gt_2
66087,64,-0.15088222370514703,42.01005360001594,37.875567910384895,3.961209391656818,0.546875
67180,64,-0.24349016345598273,31.01595819645549,26.42752076359028,3.997087443190406,0.265625
68542,64,-0.03161735132487098,27.37667195376349,25.160736903533163,2.9621450572570667,0.171875
67339,64,-0.3521658785956787,28.21121066079097,24.424134194485873,3.995296475513204,0.234375
66057,64,-0.04775606837692492,29.63970961651027,23.902191916578175,4.056096481370493,0.203125
64222,64,-0.4029365203366596,26.579912308128474,23.29938433301682,3.447058091004605,0.171875
64685,64,0.223914221858047,26.38130451900952,21.72694837732894,4.6785916544285,0.109375
64123,64,-0.08497751602200743,26.30709780826561,21.074176290147008,4.173846853021254,0.140625
69019,64,-0.11896905371162969,22.568233471929226,20.342205796555575,2.467657891771277,0.15625
66020,64,-0.04819258611215238,25.50819424583125,19.6260271999967,4.457979664954077,0.125
67038,64,-0.05245335802863682,26.199694235227092,19.545805280774506,4.570459282927446,0.171875
64695,64,-0.29468276192793197,22.529079560178538,19.27940848948541,2.531669396328154,0.171875
65163,64,-0.08184045053477917,23.30766440420137,19.055895946697394,3.8810667059080104,0.109375
68882,64,0.25767071406418074,24.3942353650437,18.798861167656604,3.6020381558863286,0.140625
68426,64,-0.20712365972242197,22.73289869801582,18.706821962408235,3.438729974104969,0.0625
64388,64,-0.3364157687589098,23.73068806494839,18.40749211592189,3.7962543566576286,0.171875
68255,64,-0.1468576780544577,22.917070631215033,18.08364918853295,4.1945524800611,0.078125
67144,64,0.28956200611012917,22.470324423032245,17.986357464791908,3.768313704228249,0.125
65112,64,0.03224596023104276,23.099167110590464,17.81409922188882,4.496173863061445,0.09375
66206,64,0.05955549011926564,22.18341625642026,17.712496828783472,4.909584437254874,0.03125
68193,64,-0.20843884317671557,19.78812256752834,17.622347459945587,2.000151958038819,0.015625
65278,64,0.19140838892037593,20.379343394664424,17.20864036459659,3.453226859051063,0.078125
65021,64,0.1799988108065973,21.690911561402466,17.13704319415836,5.237595765773962,0.09375
65323,64,-0.29367211510628455,21.037626194845863,17.10260549739616,2.5815690121537247,0.140625
68051,64,-0.3139499358888056,22.551842024282646,17.062820145734275,3.3504533433070187,0.140625
64793,64,0.18278059100865662,23.40091430174844,17.043832010143436,5.248324837308331,0.1875
66073,64,0.14046435995544426,22.24294355297154,16.81327309906827,4.884030598506295,0.125
68138,64,0.0016325337555218589,21.113771177973703,16.795539986542128,4.635706821327791,0.03125
65322,64,0.1070790092335876,18.825244737599625,16.69049896834502,2.7452954330976254,0.03125
66275,64,0.07480946915639985,20.58765614967048,16.641589311831996,3.2381933276021715,0.109375
66157,64,-0.7530092186400644,17.620821997450125,16.461552203314273,2.4661191075099986,0.015625
67026,64,0.14614684639689157,23.492210802530018,16.440260201334958,4.533916284589044,0.109375
68016,64,-0.23611676514067104,21.753233016187362,16.30352907226822,3.651852635981657,0.140625
65080,64,0.1834571435270269,18.56868800963378,15.777311356114478,2.883734521703736,0.0625
66373,64,0.08186444109977309,20.41310659365102,15.678758750087619,3.5035365535080043,0.109375
67454,64,-0.08587584465539178,18.630676635014712,15.238644185529802,2.903431582335445,0.078125
66201,64,-0.10025339513560982,22.413271307785372,15.112140036221078,3.92365336294964,0.09375
63884,64,-0.10737570706102084,19.958229349073584,15.086283215922847,2.953248756671416,0.125
67179,64,-0.11127591253163938,21.528337717472937,14.926146422463695,4.373988913255442,0.09375
64438,64,-0.17683950808871907,19.524337698211532,14.832845719627144,3.328972690446066,0.0625
64189,64,-0.2602973304053724,19.473298565452353,14.727040782026021,3.3929512921425324,0.125
64159,64,-0.292653664784039,19.978111413401887,14.672951095990761,3.2681108110953807,0.125
66151,64,-0.19672872165580157,19.769734131970342,14.49686884142848,3.3238338084334993,0.140625
68906,64,-0.2629443373883157,20.470054827770387,14.496518647601917,3.710406588275471,0.125
64312,64,-0.12364287466025037,20.631993566429376,14.12684910366854,3.660745220961397,0.140625
67186,64,0.059017727931693464,19.486796925120835,13.827162794668638,4.685215468242159,0.0625
66312,64,-0.15192442069306633,17.21735694207515,13.46205800847427,2.5984889680762504,0.0625
64973,64,-0.25386340828264065,17.453776590355403,13.32401903757924,2.4823739807827523,0.046875
65305,64,0.21136219662090783,20.625740272073113,13.311704224966487,4.339554621801059,0.09375
64939,64,-0.3968301197218207,15.926482899277675,13.259015259434516,2.2161153267433127,0.0625
68896,64,0.10580947252126993,14.679092296885962,12.973178086966339,1.5707363575005522,0.0
65048,64,-0.004702984775845742,15.549120667187498,12.481991351938932,2.0391969035013444,0.015625
64923,64,0.0935490608633931,18.163213784321535,12.364407144781586,3.313167118230098,0.078125
63954,64,-0.44688003854414216,14.623477645516536,12.298794110395072,2.5861611310214205,0.015625
64707,64,0.2591135623877445,17.193290908630654,12.061696498150866,3.796415129458428,0.078125
66085,64,0.3140183054474719,14.983718733382954,11.90724841994653,2.760436951341496,0.03125
64386,64,-0.41682909033605453,16.470362737295087,11.844902430343954,3.212095408805171,0.109375
65554,64,0.37587677424073274,23.996508893681852,11.827759269153892,5.561912866417688,0.0625
66050,64,-0.30505365245074834,16.9799734943884,11.779161453987896,3.086829866941162,0.078125
65088,64,0.3826793654299514,17.170796101630238,11.71768843263753,4.870855637619635,0.03125
65502,64,-0.08734546424286327,15.395785690574357,11.715670644869073,2.0374469223279297,0.015625
64890,64,-0.213438152578591,16.763203190907014,11.673795827748904,3.4259826186647104,0.078125
63978,64,0.2318027629938837,17.232183162578806,11.625879545218215,3.6580304025178267,0.078125
64270,64,-0.20516446370128671,14.984817444684147,11.605213693883396,2.266472445816384,0.015625
68200,64,0.28901192280976784,14.375810384800062,11.602612305740255,2.1958357338639636,0.046875
66121,64,-0.013157395463269217,13.847539679111172,11.213624525270587,1.832636022047489,0.0
64066,64,0.17455382013694898,15.340664099347128,11.041345282741528,3.9767008823797614,0.046875
65222,64,-0.34819627796014774,15.585453346809945,10.903183748682615,2.2142597083370754,0.03125
67100,64,0.056995969860521134,13.872741100750552,10.824956406720279,3.232685035536813,0.03125
69283,64,0.2537465533332395,13.844467030118546,10.805719864100528,2.3469699610987504,0.03125
68786,64,-0.002993121810502042,15.536166441156427,10.572061545401002,4.104577905531808,0.0625
63885,64,0.35617278342348313,15.056579726765905,10.544740824093488,3.360069104185146,0.046875
68007,64,0.3431734640340609,17.70252099820069,10.346041841568262,5.091653533860155,0.046875
66089,64,-0.32376850321989226,14.885884988692455,10.289513732194829,4.151201754656839,0.015625
67311,64,0.3015448371061964,11.656461976453077,10.03928860367979,2.740110422111468,0.015625
68411,64,0.5114153454857393,19.53588104948639,9.91881473703914,5.5472524875490254,0.0625
65065,64,-0.09564241595735357,13.14518759463449,9.876305243205145,2.1675065864990217,0.03125
63969,64,0.17220248537478255,11.539539051841336,9.850734629383005,1.5319425254436219,0.0
68293,64,0.021386949245980613,11.771309389952481,9.718987591293637,1.767881942072905,0.0
64105,64,-0.4121085378479049,13.515356258461333,9.526239672140171,2.2929101118596185,0.015625
63977,64,0.3505430538315515,15.981062400868755,9.261777827492297,4.467544472545005,0.046875
64776,64,-0.13782795930077674,12.052368754159932,9.05982277544031,1.679274011947346,0.0
64871,64,-0.24213177725857982,14.388506991880378,8.78352711875196,3.171589130039473,0.0625
65028,64,-0.34185471199119977,10.869899626844196,8.647909507162456,1.58242106186731,0.0
66305,64,0.4467894710296316,14.27798750076033,8.598276553277039,2.8541625743408154,0.09375
64843,64,0.3523175340302458,14.439006000060763,8.521789958064366,3.707036383980968,0.046875
65079,64,-0.3329625361914029,12.748116314259372,8.486457830260282,2.5435202165673694,0.0625
64615,64,0.2975381744199228,10.028237557690268,8.473722764862837,1.9103496133353217,0.0
64947,64,-0.2747433083947669,11.873733486851455,8.46474992525616,1.9485102555691427,0.0
64116,64,-0.020139647551670192,12.053251088642279,8.414379721357404,2.3010516632511777,0.03125
68549,64,-0.11071597327589966,11.176929500133927,8.407765781304438,2.065994781598042,0.015625
67323,64,-0.36198317642142797,10.260577196270791,7.793699883128603,2.3074924785667545,0.015625
66036,64,0.3790757111129839,15.16956818152089,7.767128196190588,3.481971025853073,0.0625
68832,64,0.1155147512793877,9.079614373032157,7.7100493373560575,1.144130758359428,0.0
67024,64,0.2998887235044787,12.914267568702098,7.6817032285916875,4.915867905191513,0.015625
68987,64,0.3889404107718264,14.675757201239582,7.578353620586144,5.67728805406437,0.03125
66420,64,-0.20027892845915607,11.555828935696503,7.563905237662178,2.3147957336379723,0.015625
67245,64,0.03235777246195082,9.197089869324397,7.4742836780002735,1.235547596557808,0.0
64882,64,-0.028375306722220328,9.721104530810484,7.463955173468868,1.307624951235377,0.0
64012,64,-0.11039957722949789,10.21977155181763,7.325661884258908,2.6073467089750437,0.015625
65973,64,-0.3644255978308767,10.783502869308684,7.323381106072528,2.3452324862985354,0.015625
68939,64,0.34685562805261894,9.278389144385821,7.323138160452304,1.9745760345753975,0.0
68124,64,0.497814732444259,11.2805523339603,7.1688788684374165,3.8257775836771843,0.015625
66022,64,-0.48260791134230585,10.359306632525673,7.063497465269424,2.401342466183236,0.015625
64976,64,-0.3450849210671414,8.685648798177008,6.975381786921025,1.4108703055156406,0.0
64919,64,-0.13784662794285252,8.684976117533996,6.918666865611249,1.1906841334936578,0.0
64037,64,-0.17029885175905024,8.3011419048785,6.731632299245601,1.8199658020219913,0.0
68027,64,0.1328220606828192,9.281544457364202,6.548501642890983,2.413564257511602,0.015625
68881,64,0.39986724556723185,14.007788763386342,6.5060824197804425,5.779615858081683,0.015625
67194,64,-0.5717993565970707,12.163065842284295,6.456253003805378,2.875350243867988,0.0625
65071,64,-0.08456114502921541,8.280920196994428,6.375178619622547,1.907400177702765,0.0
64652,64,0.32936563490998383,8.1128409139158,6.289521427215407,1.415977591295445,0.0
64258,64,-0.4591440740121918,7.55837950102121,6.167332230688818,0.9467911979063729,0.0
64039,64,-0.2216958050805895,8.139467738082129,6.132524174646591,1.9342928689310463,0.0
64038,64,-0.12238192439763296,8.597072057345382,6.013526671850006,1.8744381836957758,0.0
68800,64,0.46842890944403703,13.050026035832573,5.916974067929894,5.364616280153886,0.03125
64869,64,-0.18474658308231906,6.601715086640114,5.518866816591661,1.1438232519540141,0.0
68850,64,0.45801481890694307,12.580706668634482,5.497127023832295,4.045750204455742,0.03125
65995,64,0.3291118009140743,12.05278133991428,5.442315311543647,5.186661424622321,0.015625
64926,64,-0.16584708664569137,7.280062812372067,5.3725074132470985,1.769344861690346,0.0
67212,64,0.4831580299468732,9.772346106313826,5.3368522815719714,2.627086101626759,0.046875
64888,64,0.2957639960709102,9.273177573423222,5.010801550671288,3.5390630389982394,0.015625
66520,64,0.5826308477031741,12.918660384950304,4.935202231659311,5.846958532080724,0.015625
65018,64,-0.8508524836631777,6.8776839756356445,4.8886948219256885,1.625783086474247,0.0
64806,64,0.46914935537033453,12.460509139430267,4.783528108027063,5.633714404079145,0.015625
64369,64,0.46914935537045466,7.153468837113535,4.78080685464842,2.3312378015909396,0.015625
65063,64,0.41957123638328975,12.514456900762621,4.758829774393564,5.664374323153116,0.015625
64363,64,0.5128887735904126,12.614915964151747,4.752604229190057,5.702821687445036,0.015625
65585,64,-0.011770761659901763,5.496761588803351,4.313827761953513,0.856571218016307,0.0
67105,64,-0.13404258890103504,5.513557934919221,4.252080996421881,0.9743527479274615,0.0
67013,64,-0.08161583355887148,4.875717313587371,4.034185530683416,0.9142476723196599,0.0
66314,64,-0.5466576920543804,4.3770812658427,3.444565476535975,0.7019132534418185,0.0
64065,64,-0.5767523268342745,6.557611566165478,3.3242051345696773,2.6908966447609393,0.015625
63873,64,0.4505472844883016,4.419374579046736,3.17302203995493,1.050368502608304,0.0
67058,64,0.5044795258173487,3.759382821530258,3.1202633158221142,0.5370748666686672,0.0
64708,64,0.4850442291219077,3.742892477856077,3.0294975787728875,0.7324786537574238,0.0
65909,64,-0.3261417380585824,3.6662416106652747,2.9236758166174592,0.5432341538833418,0.0
67424,64,0.6218331828513963,3.3683814275062467,2.750041698660573,0.5436675052136511,0.0
64450,64,0.3411252116910346,3.324380246267473,2.716998897358301,0.460249944174091,0.0
65466,64,0.425259512671774,3.1829520636434028,2.6966536738390188,0.40536553060699143,0.0
64392,64,-0.5508508469975083,3.3021519883013566,2.595083186256426,0.5413479406843761,0.0
