variable,mean,standard_deviation
subject_accuracy,0.6231161347517731,0.14076787064070787
item_entropy,0.7190179634222389,0.2626867445736676
subject_mean_models,2.9119680851063827,0.6002933863597444
models_within_subject,9.645554646566076e-17,1.2744329403765389
