parameter,estimate,standard_error,z_value,p_value,ci_95_lower,ci_95_upper
Intercept,73.09547789295152,1.7531926435492255,41.692781544516656,0.0,69.65922031159504,76.53173547430801
"C(condition, Treatment(reference='Neutral'))[T.Standard]",5.246788621037827,2.5223619690367194,2.080109312400375,0.03751550764099382,0.30295916172585713,10.190618080349797
sequence_c10,-0.4380715926623394,0.096590544138288,-4.535346565965664,5.75089736961523e-06,-0.627389059173384,-0.2487541261512949
subject_accuracy_z,0.6960524470079125,1.5837121716478886,0.43950691259994173,0.6602942743457958,-2.4080234094219493,3.800128303437774
item_entropy_z,-2.487428338971572,0.27277161633093394,-9.119087874428095,7.575923775065895e-20,-3.0220607069802026,-1.9527959709629417
subject_mean_models_z,-2.240801323265913,1.5828391043091552,-1.4156848394543118,0.15686779909150805,-5.343165967711857,0.8615633211800313
models_within_subject_z,-0.4845983044157915,0.2310590201070305,-2.097292303028539,0.03596770780735355,-0.9374739838255712,-0.031722625006011695
