item_id,n_observations,mean_residual,residual_sd,mean_absolute_residual,max_absolute_standardized_residual,rate_abs_standardized_residual_gt_2
50,71,-3.353263826798708,23.94594826359974,16.16969183220156,4.913500805281803,0.14084507042253522
96,70,-3.5674758098413424,22.49451967624222,16.144716474965524,4.288995014468556,0.18571428571428572
102,71,-0.5479967013620439,23.61491303686539,15.543055346352999,5.372587870907491,0.14084507042253522
63,71,-1.5662119244522983,20.70610317825086,15.041635508450522,3.448247617262207,0.1267605633802817
61,70,-2.004750533289621,22.424981814253762,14.994276028450969,4.861912042128465,0.11428571428571428
119,70,-4.691399909428693,21.30646876318769,14.981118658764283,4.336091395771853,0.1
110,71,-2.5745579062301402,20.0011562877015,14.918800265092594,3.4278753158712707,0.09859154929577464
98,70,-2.0990137040701167,20.90984071242546,14.744443465670354,3.7822680865982234,0.12857142857142856
73,71,-1.0920042854730485,20.05955495944842,14.62488939575014,3.4484894255745733,0.09859154929577464
76,71,-1.1823038819355125,23.499860914050128,14.513598825052002,5.655054820222095,0.08450704225352113
46,70,-0.6184756599801827,20.37419257927588,14.467501805410446,3.654038336415477,0.11428571428571428
74,70,-0.3437113400678057,22.918377809196674,14.416969050873064,5.691171622861372,0.1
125,71,-2.127437870865884,20.310415695512447,14.38750225251198,4.529876440587164,0.09859154929577464
51,71,-0.6942487404581233,21.268081881840512,14.124839030162567,5.466602725159504,0.09859154929577464
42,70,0.06203917721593229,21.472115661147694,14.119340303869873,3.9336093210471925,0.11428571428571428
112,71,-1.233197552765494,20.67248742473883,14.103387919991725,4.370267391677007,0.09859154929577464
65,70,-1.7858050861214885,21.151782044125174,13.885625751054132,4.523391840719255,0.11428571428571428
95,70,-0.45931831243047744,20.46639386279862,13.879216011782184,4.096309236981238,0.12857142857142856
68,71,-0.9176841634485181,20.534250113293197,13.740278890183207,5.633194790110271,0.056338028169014086
75,71,-1.017879921752118,18.921076793744948,13.661797201112922,3.6961191828430704,0.09859154929577464
62,70,-2.7083428145967763,18.622467204822158,13.569194612217995,3.601803154399274,0.11428571428571428
89,70,-1.8785653558809503,20.437545739522946,13.434677288615415,5.175334423893562,0.1
78,70,-2.0429832406757327,20.481045239469292,13.371626823765022,4.453865333726068,0.08571428571428572
123,71,-1.3105739080907044,20.67306833923631,13.286493535765942,5.810233908649015,0.07042253521126761
120,71,0.1869716266287498,18.05198836411558,13.140880951555644,3.3444644898904956,0.09859154929577464
54,70,-1.1045325617955943,20.23067348991904,12.903779439232185,4.183021161245767,0.08571428571428572
3,71,0.3102403392086987,18.777444505934945,12.871351376609281,3.996325566470539,0.07042253521126761
103,70,-0.08406406244839236,18.211119536002155,12.766787272033019,3.330943224021031,0.08571428571428572
37,70,-0.11176557822004167,20.702047645658432,12.72639273338784,5.846809572079818,0.08571428571428572
66,71,0.17100440286537863,16.796637226863076,12.661165450834568,2.4728322138691996,0.08450704225352113
99,71,-1.8782173424759991,18.588926601933977,12.65527794205655,4.822570655515721,0.056338028169014086
21,70,-0.08972336561434975,18.051230823035898,12.628112985617749,3.773581844867558,0.07142857142857142
100,71,-0.8573087508921967,17.421524576335244,12.609038953812266,3.799438564193587,0.056338028169014086
