subject_id,item_id,sequence,condition,confidence,is_correct_binary,fitted,residual,standardized_residual,absolute_standardized_residual
63873,125,1,Standard,99.0,0,94.75411340586913,4.245886594130866,0.25458247720689825,0.25458247720689825
63873,17,2,Standard,100.0,1,105.64077501939288,-5.640775019392876,-0.33821969710375327,0.33821969710375327
63873,49,3,Standard,100.0,0,102.30045442267368,-2.300454422673681,-0.1379347687795968,0.1379347687795968
63873,7,4,Standard,100.0,1,105.29082190072587,-5.290821900725874,-0.31723658088494566,0.31723658088494566
63873,105,5,Standard,99.0,0,98.46200073724367,0.5379992627563297,0.03225832391221183,0.03225832391221183
63873,73,6,Standard,100.0,1,96.26591149929256,3.7340885007074434,0.22389516995907624,0.22389516995907624
63873,120,7,Standard,100.0,1,97.34433772812145,2.6556622718785547,0.15923295754867814,0.15923295754867814
63873,6,8,Standard,100.0,1,102.19744286617583,-2.197442866175834,-0.13175821727433254,0.13175821727433254
63873,60,9,Standard,100.0,1,100.52242170297652,-0.5224217029765157,-0.0313242966673331,0.0313242966673331
63873,35,10,Standard,100.0,1,103.98237875859908,-3.982378758599083,-0.23878260218766417,0.23878260218766417
63873,69,11,Standard,100.0,1,99.20002698873094,0.79997301126906,0.04796621539281322,0.04796621539281322
63873,63,12,Standard,100.0,1,96.55018571036881,3.449814289631192,0.20685014738078406,0.20685014738078406
63873,28,13,Standard,100.0,0,101.22947437475275,-1.2294743747527548,-0.07371902782792775,0.07371902782792775
63873,82,14,Standard,100.0,1,97.47912817423797,2.520871825762029,0.15115095043063537,0.15115095043063537
63873,79,15,Standard,100.0,1,100.24598012841359,-0.24598012841359207,-0.014748917345500132,0.014748917345500132
63873,90,16,Standard,100.0,1,100.10726134124964,-0.10726134124963949,-0.006431367715193864,0.006431367715193864
63873,112,17,Standard,100.0,1,98.62729227459918,1.372707725400815,0.08230726974588973,0.08230726974588973
63873,31,18,Standard,100.0,1,97.3833538397516,2.6166461602483935,0.15689355960914825,0.15689355960914825
63873,20,19,Standard,81.0,1,97.19764403000988,-16.197644030009883,-0.9712073675673742,0.9712073675673742
63873,111,20,Standard,100.0,0,99.47195043620304,0.5280495637969551,0.03166174203175325,0.03166174203175325
63873,22,21,Standard,100.0,1,106.10001470174998,-6.100014701749984,-0.36575561295411857,0.36575561295411857
63873,18,22,Standard,100.0,0,100.45163697546671,-0.45163697546671244,-0.027080059126280785,0.027080059126280785
63873,68,23,Standard,100.0,1,95.31908230373564,4.680917696264359,0.28066685162148686,0.28066685162148686
63873,110,24,Standard,100.0,1,96.12792729863564,3.8720727013643597,0.2321686739351857,0.2321686739351857
63873,13,25,Standard,100.0,1,97.44704446345474,2.552955536545255,0.15307468305704938,0.15307468305704938
63873,101,26,Standard,100.0,1,101.90294304641824,-1.902943046418244,-0.11410006932603116,0.11410006932603116
63873,2,27,Standard,100.0,0,98.94629838520973,1.0537016147902705,0.0631797296943885,0.0631797296943885
63873,58,28,Standard,100.0,1,100.9450312153468,-0.9450312153468019,-0.056663875142921254,0.056663875142921254
63873,15,29,Standard,100.0,1,101.58345055170281,-1.5834505517028106,-0.09494336578474954,0.09494336578474954
63873,100,30,Standard,100.0,0,96.55832984643877,3.4416701535612333,0.2063618266756889,0.2063618266756889
63873,83,31,Standard,100.0,1,98.88324941447485,1.1167505855251534,0.06696013286794933,0.06696013286794933
63873,8,32,Standard,100.0,0,102.7468363029962,-2.7468363029962006,-0.1646997334938846,0.1646997334938846
63873,116,33,Standard,100.0,0,101.51162598369064,-1.5116259836906352,-0.09063677962342087,0.09063677962342087
63873,51,34,Standard,100.0,0,97.01077567471259,2.9892243252874096,0.17923326890330324,0.17923326890330324
63873,76,35,Standard,100.0,0,94.61326881900553,5.386731180994474,0.322987281384498,0.322987281384498
63873,67,36,Standard,100.0,1,100.71000033488706,-0.7100003348870558,-0.042571472427721385,0.042571472427721385
63873,16,37,Standard,100.0,0,99.14074287736544,0.8592571226345598,0.051520878381528315,0.051520878381528315
63873,29,38,Standard,100.0,1,100.54892198713401,-0.5489219871340083,-0.03291324819440096,0.03291324819440096
63873,23,39,Standard,100.0,0,99.29057222320787,0.7094277767921255,0.0425371419634189,0.0425371419634189
63873,3,40,Standard,100.0,1,100.0197493190808,-0.019749319080801797,-0.0011841650650043288,0.0011841650650043288
63873,36,41,Standard,78.0,0,96.03376673234044,-18.03376673234044,-1.0813009029579075,1.0813009029579075
63873,115,42,Standard,100.0,1,103.51528800154156,-3.5152880015415633,-0.2107759375309765,0.2107759375309765
63873,99,43,Standard,100.0,0,96.01767883568233,3.9823211643176677,0.23877914884652784,0.23877914884652784
63873,66,44,Standard,100.0,0,95.74891411787024,4.2510858821297575,0.25489422543406465,0.25489422543406465
63873,75,45,Standard,100.0,0,94.46364600815004,5.536353991849964,0.3319586340077414,0.3319586340077414
