parameter,estimate,standard_error,z_value,p_value,ci_95_lower,ci_95_upper
Intercept,72.80542017274854,1.7877873107022568,40.72375932915085,0.0,69.30135704377211,76.30948330172497
"C(condition, Treatment(reference='Neutral'))[T.Standard]",5.149965954639803,2.534722970902356,2.0317667902013077,0.042177270709473844,0.1819089316711846,10.11802297760842
sequence_c10,-0.4368513558756832,0.0965895605781998,-4.5227595328172585,6.10385725670941e-06,-0.6261668946089548,-0.2475358171424116
subject_accuracy_z,0.3097927012185791,1.5030092273041582,0.20611496961614298,0.8367011057631265,-2.636105384297571,3.255690786734729
item_entropy_z,-2.4373456769425488,0.27731874892405023,-8.788968241054876,1.5093972514550769e-18,-2.9808904248336874,-1.8938009290514102
subject_mean_models_z,-1.8005399656231311,1.5077349911775129,-1.1942018830623167,0.23239900668296964,-4.755700548331056,1.1546206170847941
models_within_subject_z,-0.3659504747871121,0.2463311097174223,-1.4856039710408915,0.13738390406951445,-0.8487594498332598,0.1168585002590356
validity_binary,0.6776247923806397,0.6215276075599633,1.0902569477821051,0.275599974021985,-0.5405693184368884,1.8958189031981676
