group,number_of_subjects,median_confidence,mean_confidence,median_accuracy,mean_accuracy,median_models,mean_models
"< 2,6 modèles",40,73.62317708333333,72.79415724494619,52.02315899037211,53.19901753760032,2.0847009236839744,2.151388272907088
"2,6 à < 3 modèles",11,73.05172413793103,72.50846189011946,59.52380952380953,59.670384409509964,2.8611111111111107,2.8451672900008025
≥ 3 modèles,46,79.87653489068583,77.23852697342079,72.903981264637,72.50500055509579,3.498633879781421,3.4498643735575847
