model_group,number_of_subjects,median_confidence,median_accuracy,mean_number_models_generated
"< 2,6 modèles",71,75.58333333333334,22.58064516129032,2.0283545544680766
"2,6 à < 3 modèles",2,74.21739130434783,60.434782608695656,2.7753623188405796
≥ 3 modèles,24,79.066875,88.99769585253455,3.754053631103478
