variable,mean,standard_deviation
subject_accuracy,0.6231161347517731,0.14076787064070787
item_entropy,0.7190179634222389,0.2626867445736676
subject_mean_models,2.722800531914894,0.469385916534537
models_within_subject,3.966488288332784e-17,0.9592986293175724
