model,fixed_effect_variance,participant_variance,item_variance,residual_variance,total_variance,marginal_r2,conditional_r2
Null_ML,0.0,199.564714370184,11.86503237062833,285.41270942602375,496.8424561668361,0.0,0.425546859203626
Control_ML,7.26240705602919,193.73380664011862,11.873709624788802,284.7495380606478,497.6194613815844,0.014594298695364393,0.42777652371136615
Cognitive_ML,16.619041165134472,190.89642432694842,5.05284241094003,284.69562846585654,497.26393636887946,0.03342096611005019,0.42747581788303235
Cognitive_REML,16.61911311845312,196.65038197094918,5.221232542308341,284.7496445958184,503.24037222752906,0.03302420480473525,0.43416772518585783
